CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASPRVND	IFRC VNX ALL-SHARE (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASTRVND	IFRC VNX ALL-SHARE TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXPRVND	IFRC VNX ALL-SHARE HSX (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXTRVND	IFRC VNX ALL-SHARE HSX TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXPRVND	IFRC VNX ALL-SHARE HNX (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXTRVND	IFRC VNX ALL-SHARE HNX TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASLGPRVND	IFRC VNX ALL-SHARE LARGE (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGTRVND	IFRC VNX ALL-SHARE LARGE TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDPRVND	IFRC VNX ALL-SHARE MID (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDTRVND	IFRC VNX ALL-SHARE MID TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASSMPRVND	IFRC VNX ALL-SHARE SMALL (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASSMTRVND	IFRC VNX ALL-SHARE SMALL TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASBNPRVND	IFRC VNX ALL-SHARE BANK (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNTRVND	IFRC VNX ALL-SHARE BANK TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMPRVND	IFRC VNX ALL-SHARE BASIC MATERIAL (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMTRVND	IFRC VNX ALL-SHARE BASIC MATERIAL TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGPRVND	IFRC VNX ALL-SHARE CONSUMER GOODS (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGTRVND	IFRC VNX ALL-SHARE CONSUMER GOODS TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSPRVND	IFRC VNX ALL-SHARE CONSUMER SERVICES (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSTRVND	IFRC VNX ALL-SHARE CONSUMER SERVICES TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIPRVND	IFRC VNX ALL-SHARE FINANCE (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFITRVND	IFRC VNX ALL-SHARE FINANCE TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCPRVND	IFRC VNX ALL-SHARE HEALTHCARE (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCTRVND	IFRC VNX ALL-SHARE HEALTHCARE TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINPRVND	IFRC VNX ALL-SHARE INDUSTRIALS (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINTRVND	IFRC VNX ALL-SHARE INDUSTRIALS TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASOGPRVND	IFRC VNX ALL-SHARE OIL & GAS (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASOGTRVND	IFRC VNX ALL-SHARE OIL & GAS TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASTEPRVND	IFRC VNX ALL-SHARE TECHNOLOGY (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASTETRVND	IFRC VNX ALL-SHARE TECHNOLOGY TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASUTPRVND	IFRC VNX ALL-SHARE UTILITIES (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASUTTRVND	IFRC VNX ALL-SHARE UTILITIES TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASEPRVND	IFRC VNX ALL-SHARE EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASETRVND	IFRC VNX ALL-SHARE EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXEPRVND	IFRC VNX ALL-SHARE HSX EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHSXETRVND	IFRC VNX ALL-SHARE HSX EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXEPRVND	IFRC VNX ALL-SHARE HNX EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASHNXETRVND	IFRC VNX ALL-SHARE HNX EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASLGEPRVND	IFRC VNX ALL-SHARE LARGE EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASLGETRVND	IFRC VNX ALL-SHARE LARGE EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDEPRVND	IFRC VNX ALL-SHARE MID EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASMDETRVND	IFRC VNX ALL-SHARE MID EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASSMEPRVND	IFRC VNX ALL-SHARE SMALL EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASSMETRVND	IFRC VNX ALL-SHARE SMALL EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Size
VNXASBNEPRVND	IFRC VNX ALL-SHARE BANK EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNETRVND	IFRC VNX ALL-SHARE BANK EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMEPRVND	IFRC VNX ALL-SHARE BASIC MATERIAL EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMETRVND	IFRC VNX ALL-SHARE BASIC MATERIAL EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGEPRVND	IFRC VNX ALL-SHARE CONSUMER GOODS EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCGETRVND	IFRC VNX ALL-SHARE CONSUMER GOODS EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSEPRVND	IFRC VNX ALL-SHARE CONSUMER SERVICES EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASCSETRVND	IFRC VNX ALL-SHARE CONSUMER SERVICES EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIEPRVND	IFRC VNX ALL-SHARE FINANCE EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFIETRVND	IFRC VNX ALL-SHARE FINANCE EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCEPRVND	IFRC VNX ALL-SHARE HEALTHCARE EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCETRVND	IFRC VNX ALL-SHARE HEALTHCARE EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINEPRVND	IFRC VNX ALL-SHARE INDUSTRIALS EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASINETRVND	IFRC VNX ALL-SHARE INDUSTRIALS EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASOGEPRVND	IFRC VNX ALL-SHARE OIL & GAS EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASOGETRVND	IFRC VNX ALL-SHARE OIL & GAS EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASTEEPRVND	IFRC VNX ALL-SHARE TECHNOLOGY EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASTEETRVND	IFRC VNX ALL-SHARE TECHNOLOGY EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASUTEPRVND	IFRC VNX ALL-SHARE UTILITIES EW (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASUTETRVND	IFRC VNX ALL-SHARE UTILITIES EW TR (VND)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASPREUR	IFRC VNX ALL-SHARE (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASPRJPY	IFRC VNX ALL-SHARE (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASPRUSD	IFRC VNX ALL-SHARE (USD)	IFRCRESEARCH	Vietnam	EQUITY	Benchmark
VNXASBNPREUR	IFRC VNX ALL-SHARE BANK (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNPRJPY	IFRC VNX ALL-SHARE BANK (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNPRUSD	IFRC VNX ALL-SHARE BANK (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNEPREUR	IFRC VNX ALL-SHARE BANK EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNEPRJPY	IFRC VNX ALL-SHARE BANK EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNEPRUSD	IFRC VNX ALL-SHARE BANK EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNETREUR	IFRC VNX ALL-SHARE BANK EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNETRJPY	IFRC VNX ALL-SHARE BANK EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNETRUSD	IFRC VNX ALL-SHARE BANK EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNTREUR	IFRC VNX ALL-SHARE BANK TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNTRJPY	IFRC VNX ALL-SHARE BANK TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBNTRUSD	IFRC VNX ALL-SHARE BANK TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMPREUR	IFRC VNX ALL-SHARE BASIC MATERIAL (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMPRJPY	IFRC VNX ALL-SHARE BASIC MATERIAL (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASBMPRUSD	IFRC VNX ALL-SHARE BASIC MATERIAL (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
