Nr	TABLE	MYSQL	DBF	FILE	ACTIVE	EMPTY	DESCRIPTION
1	VNDB_CALENDAR	VNDB_CALENDAR	VNDB_CALENDAR	vndb_calendar.txt	1	1	prevdate and currdate
2	VNDB_COMPANY	VNDB_COMPANY	VNDB_COMPANY	vndb_company.txt	1	1	
3	 VNDB_INDEXES	 VNDB_INDEXES	 VNDB_INDEXES	 vndb_indexes.txt	1	1	
4	VNDB_META_PRICES	VNDB_META_PRICES	VNDB_META_PRICES	vndb_meta_prices.txt	1	1	
5	VNDB_CALENDAR_MISSING	VNDB_CALENDAR_MISSING	VNDB_CALENDAR_MISSING	vndb_calendar_missing.txt	1	1	
6	VNDB_DOWNLOAD	VNDB_DOWNLOAD	VNDB_DOWNLOAD	vndb_download.txt	9	1	
7	VNDB_BODY	VNDB_BODY	VNDB_BODY	vndb_body.txt	9	1	
8	VNDB_STATS_DAY	VNDB_STATS_DAY	VNDB_STATS_DAY	vndb_stats_day.txt	1	1	
9	VNDB_CALENDAR_MISSING	VNDB_CALENDAR_MISSING	VNDB_CALENDAR_MISSING	vndb_calendar_missing.txt	1	1	
10	VNDB_CALENDAR_MISSING_FILE	VNDB_CALENDAR_MISSING_FILE	VNDB_CALENDAR_MISSING_FILE	vndb_calendar_missing_file.txt	1	1	
11	VNDB_REPORTS	VNDB_REPORTS	VNDB_REPORTS	vndb_reports.txt	1	1	
12	VNDB_STATS_DAILY	VNDB_STATS_DAILY	VNDB_STATS_DAILY	vndb_stats_daily.txt	1	1	
13	VNDB_STATS_MONTHLY	VNDB_STATS_MONTHLY	VNDB_STATS_MONTHLY	vndb_stats_monthly.txt	1	1	
14	VNDB_STATS_YEARLY	VNDB_STATS_YEARLY	VNDB_STATS_YEARLY	vndb_stats_yearly.txt	1	1	
15	VNDB_STATS_DAILY2	VNDB_STATS_DAILY2	VNDB_STATS_DAILY2	vndb_stats_daily2.txt	1	1	
16	VNDB_CHANGES_DAY	VNDB_CHANGES_DAY	VNDB_CHANGES_DAY	vndb_changes_day.txt	1	1	
17	VNDB_ANOMALIES_DAILY	VNDB_ANOMALIES_DAILY	VNDB_ANOMALIES_DAILY	vndb_anomalies_daily.txt	1	1	
18	VNDB_PARAM	VNDB_PARAM	VNDB_PARAM	vndb_param.txt	1	1	
