tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
IDX_CALENDAR	IDX_CALENDAR	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
IDX_CALENDAR	IDX_CALENDAR	prevdate	PREV_DATE	PREVIOUS DATE	100	C	D	0	3	text		8	41155	sysformat
IDX_CALENDAR	IDX_CALENDAR	currdate	DATE	DATE	100	C	D	0	2	text		8	41156	sysformat
MAR_REF	MAR_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
MAR_REF	MAR_REF	mar_code	MAR_CODE	CODE	200	L	C	0	2	textarea		255	HNX	sysformat
MAR_REF	MAR_REF	mar_name	MAR_NAME	NAME	200	L	C	0	3	textarea		255	Hanoi Stock Exchange	sysformat
MAR_REF	MAR_REF	mar_name_vn	MAR_NAME_VN	NAME (VN)	200	L	C	0	4	textarea		255	sàn giao dịch Chứng Khoán Hà Nội	sysformat
SEC_REF	SEC_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
SEC_REF	SEC_REF	sec_code	SEC_CODE	CODE	255	L	C	0	2	textarea		255	PVNBM	sysformat
SEC_REF	SEC_REF	sec_name	SEC_NAME	SECTOR	300	L	C	0	3	textarea		255	PVN Basic Materials	sysformat
SEC_REF	SEC_REF	sec_name_vn	SEC_NAME_VN	NAME (VN)	300	L	C	0	1	textarea		255	PV VẬT LIỆU CƠ BẢN	sysformat
SEC_REF	SEC_REF	uni_code	UNI_CODE	UNICODE	100	L	C	0	4	textarea		255	14	sysformat
STK_REF	STK_REF	id	ID	ID	50	R	N	0	0	text		11		sysformat
STK_REF	STK_REF	stk_code	STK_CODE	CODE	100	L	C	0	4	textarea		255		sysformat
STK_REF	STK_REF	stk_name	STK_NAME	NAME	50	L	C	0	0	textarea		255		sysformat
STK_REF	STK_REF	stk_name_sn	STK_NAME_SN	NAMESN	400	L	C	0	6	textarea		255		sysformat
STK_REF	STK_REF	stk_name_vn	STK_NAME_VN	NAMEVN	255	L	C	0	0	textarea		255		sysformat
STK_REF	STK_REF	stk_name_sn_vn	STK_NAME_SN_VN	NAMESNVN	255	L	C	0	0	textarea		255		sysformat
STK_REF	STK_REF	stk_market	STK_MARKET	MARKET	100	L	C	0	9	textarea		255		sysformat
STK_REF	STK_REF	stk_sector	STK_SECTOR	SECTOR	100	L	C	0	10	textarea		255		sysformat
STK_REF	STK_REF	stk_curr	STK_CURR	CURR	50	L	C	0	11	textarea		255		sysformat
STK_REF	STK_REF	stk_mult	STK_MULT	MULT	50	R	F	0	12	textarea		255		sysformat
STK_REF	STK_REF	ric_code	RIC_CODE	RICCODE	255	L	C	0	0	textarea		255		sysformat
STK_REF	STK_REF	bl_code	BL_CODE	BLCODE	255	L	C	0	0	textarea		255		sysformat
STK_REF	STK_REF	pvnsample	PVNSAMPLE	PVNSAMPLE	50	R	smallint	0	0	text		6		sysformat
STK_REF	STK_REF	ipo	IPO	IPO	100	C	D	0	3	text		8		sysformat
STK_REF	STK_REF	ticker	TICKER	TICKER	200	L	C	0	15	textarea		255	DPM	sysformat
IDX_REF	IDX_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
IDX_REF	IDX_REF	idx_code	IDX_CODE	IDXCODE	200	L	C	0	2	textarea		255	PVN10JPYGR	sysformat
IDX_REF	IDX_REF	idx_name	IDX_NAME	IDXNAME	200	L	C	0	3	textarea		255	PVN 10 GR (JPY)	sysformat
IDX_REF	IDX_REF	idx_name_sn	IDX_NAME_SN	IDXNAMESN	200	L	C	0	0	textarea		255		sysformat
IDX_REF	IDX_REF	idx_name_sn_vn	IDX_NAME_SN_VN	IDXNAMESNVN	200	L	C	0	0	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_curr	IDX_CURR	IDXCURR	200	L	C	0	6	textarea		255	JPY	sysformat
IDX_REF	IDX_REF	idx_base	IDX_BASE	IDXBASE	100	R	N	0	0	text		255	1000	sysformat
IDX_REF	IDX_REF	idx_base_capi	IDX_BASE_CAPI	IDXBASECAPI	100	R	N	0	0	text		255	0	sysformat
IDX_REF	IDX_REF	idx_dtbase	IDX_DTBASE	IDXDTBASE	200	L	C	0	0	textarea		255		sysformat
IDX_REF	IDX_REF	idx_type	IDX_TYPE	IDXTYPE	200	L	C	0	10	textarea		255	R	sysformat
IDX_REF	IDX_REF	idx_mother	IDX_MOTHER	IDXMOTHER	200	L	C	0	0	textarea		255	PVN10JPY	sysformat
IDX_REF	IDX_REF	idx_bbs	IDX_BBS	IDXBBS	200	L	C	0	0	textarea		255	Blue Chips	sysformat
IDX_REF	IDX_REF	idx_ncompo	IDX_NCOMPO	IDXNCOMPO	200	L	C	0	13	textarea		255		sysformat
IDX_REF	IDX_REF	idx_wgt_type	IDX_WGT_TYPE	IDXWGTTYPE	200	L	C	0	14	textarea		255		sysformat
IDX_REF	IDX_REF	idx_frequency	IDX_FREQUENCY	IDXFREQUENCY	200	L	C	0	15	textarea		255		sysformat
IDX_REF	IDX_REF	idx_capp	IDX_CAPP	IDXCAPP	200	L	C	0	16	textarea		255		sysformat
IDX_REF	IDX_REF	idx_qlf	IDX_QLF	IDXQLF	200	L	C	0	17	textarea		255		sysformat
IDX_REF	IDX_REF	idx_compo_rev	IDX_COMPO_REV	IDXCOMPOREV	200	L	C	0	18	textarea		255		sysformat
IDX_REF	IDX_REF	idx_shares_rev	IDX_SHARES_REV	IDXSHARESREV	200	L	C	0	19	textarea		255		sysformat
IDX_REF	IDX_REF	idx_frev	IDX_FREV	IDXFREV	200	L	C	0	20	textarea		255		sysformat
IDX_REF	IDX_REF	idx_fbanding	IDX_FBANDING	IDXFBANDING	200	L	C	0	21	textarea		255		sysformat
IDX_REF	IDX_REF	idx_ftreproduct	IDX_FTREPRODUCT	IDXFTREPRODUCT	200	L	C	0	22	textarea		255		sysformat
IDX_REF	IDX_REF	idx_oproduct	IDX_OPRODUCT	IDXOPRODUCT	200	L	C	0	23	textarea		255		sysformat
IDX_REF	IDX_REF	idx_etfproduct	IDX_ETFPRODUCT	IDXETFPRODUCT	200	L	C	0	24	textarea		255		sysformat
IDX_REF	IDX_REF	idx_c_mech	IDX_C_MECH	IDXCMECH	200	L	C	0	25	textarea		255		sysformat
IDX_REF	IDX_REF	idx_histo	IDX_HISTO	IDXHISTO	200	L	C	0	26	textarea		255		sysformat
IDX_REF	IDX_REF	idx_launch	IDX_LAUNCH	IDXLAUNCH	200	L	C	0	27	textarea		255		sysformat
IDX_REF	IDX_REF	idx_web	IDX_WEB	IDXWEB	200	L	C	0	28	textarea		255		sysformat
IDX_REF	IDX_REF	idx_isin	IDX_ISIN	IDXISIN	200	L	C	0	29	textarea		255		sysformat
IDX_REF	IDX_REF	idx_reuters	IDX_REUTERS	IDXREUTERS	200	L	C	0	30	textarea		255		sysformat
IDX_REF	IDX_REF	idx_bl	IDX_BL	IDXBL	200	L	C	0	31	textarea		255		sysformat
IDX_REF	IDX_REF	idx_yh	IDX_YH	IDXYH	200	L	C	0	32	textarea		255		sysformat
IDX_REF	IDX_REF	idx_ggl	IDX_GGL	IDXGGL	200	L	C	0	33	textarea		255		sysformat
IDX_REF	IDX_REF	calculs	CALCULS	CALCULS	50	R	smallint	0	34	text		6	0	sysformat
IDX_REF	IDX_REF	publications	PUBLICATIONS	PUBLICATIONS	50	R	smallint	0	0	text		6	0	sysformat
IDX_REF	IDX_REF	idx_igs	IDX_IGS	IDXIGS	200	L	C	0	36	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_es	IDX_ES	IDXES	200	L	C	0	37	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_sel	IDX_SEL	IDXSEL	200	L	C	0	38	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_inconnect	IDX_INCONNECT	IDXINCONNECT	200	L	C	0	39	textarea		255	NULL	sysformat
IDX_REF	IDX_REF	idx_capfrev	IDX_CAPFREV	IDXCAPFREV	200	L	C	0	40	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	id	ID	ID	50	R	N	0	0	text		9	1	sysformat
STK_PRICES	STK_PRICES	stk_code	STK_CODE	CODE	50	L	C	0	2	text		50	DPM	sysformat
STK_PRICES	STK_PRICES	stk_name	STK_NAME	NAME	300	L	C	0	3	text		50		sysformat
STK_PRICES	STK_PRICES	stk_market	STK_MARKET	MARKET	100	L	C	0	4	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	stk_sector	STK_SECTOR	SECTOR	100	L	C	0	5	textarea		255	NULL	sysformat
STK_PRICES	STK_PRICES	stk_rlast	STK_RLAST	RLAST	100	R	DB	0	6	text		30.8		sysformat
STK_PRICES	STK_PRICES	stk_last	STK_LAST	LAST	100	R	DB	0	7	text		30		sysformat
STK_PRICES	STK_PRICES	stk_open	STK_OPEN	OPEN	100	R	F	0	8	text		0		sysformat
STK_PRICES	STK_PRICES	stk_high	STK_HIGH	HIGH	100	R	F	0	9	text		0		sysformat
STK_PRICES	STK_PRICES	stk_low	STK_LOW	LOW	100	R	F	0	10	text		0		sysformat
STK_PRICES	STK_PRICES	stk_price	STK_PRICE	PRICE	100	R	DB	0	11	text		30		sysformat
STK_PRICES	STK_PRICES	stk_curr	STK_CURR	CURR	50	L	C	0	12	text		10		sysformat
STK_PRICES	STK_PRICES	stk_mult	STK_MULT	MULT	100	R	F	0	13	text		0		sysformat
STK_PRICES	STK_PRICES	dates	DATES	DATES	100	C	D	0	14	text		8	40438	sysformat
STK_PRICES	STK_PRICES	times	TIMES	TIMES	50	C	T	0	15	text		8	0	sysformat
CUR_RATES	CUR_RATES	id	ID	ID	50	R	N	0	0	text		9	1641	sysformat
CUR_RATES	CUR_RATES	currency	CURRENCY	CURRENCY	50	L	C	0	2	text		10	VND	sysformat
