IDX_CODE	IDX_NAME	IDX_NAME_SN	IDX_CURR	IDX_BASE	IDX_DTBASE	IDX_TYPE	IDX_MOTHER	IDX_BBS	CALCULS	PUBLICATIONS	START_TIME	END_TIME	FREQUENCY	CALCUL_TYPES	IDX_SG	IDX_LAST	IDX_DIVISOR_NXT	IDX_START_DATE	IDX_END_DATE
VNX10PRVND	VNX 10 (VND)	VNX 10 	VND	1000	2008/12/31	P	VNX10PRVND	Blue Chips	1	0									
VNX10PRUSD	VNX 10 (USD)	VNX 10 (USD)	USD	1000	2008/12/31	P	VNX10PRVND	Blue Chips	1	0									
VNX10PRJPY	VNX 10 (JPY)	VNX 10 (JPY)	JPY	1000	2008/12/31	P	VNX10PRVND	Blue Chips	1	0									
VNX10PREUR	VNX 10 (EUR)	VNX 10 (EUR)	EUR	1000	2008/12/31	P	VNX10PRVND	Blue Chips	1	0									
VNX10TRVND	VNX 10 TR (VND)	VNX 10 TR 	VND	1000	2008/12/31	R	VNX10PRVND	Blue Chips	1	0									
VNX10TRUSD	VNX 10 TR (USD)	VNX 10 TR (USD)	USD	1000	2008/12/31	R	VNX10PRVND	Blue Chips	1	0									
VNX10TRJPY	VNX 10 TR (JPY)	VNX 10 TR (JPY)	JPY	1000	2008/12/31	R	VNX10PRVND	Blue Chips	1	0									
VNX10TREUR	VNX 10 TR (EUR)	VNX 10 TR (EUR)	EUR	1000	2008/12/31	R	VNX10PRVND	Blue Chips	1	0									
VNXASPRVND	VNX ALLSHARE (VND)	VNX ALLSHARE 	VND	1000	2008/12/31	P	VNXASPRVND	Benchmark	1	0									
VNXASPRUSD	VNX ALLSHARE (USD)	VNX ALLSHARE (USD)	USD	1000	2008/12/31	P	VNXASPRVND	Benchmark	1	0									
VNXASPRJPY	VNX ALLSHARE (JPY)	VNX ALLSHARE (JPY)	JPY	1000	2008/12/31	P	VNXASPRVND	Benchmark	1	0									
