FROM_DB	FROM_TB	TO_DB	TO_TB	ACTIVE
ifrcdata_db	vndb_reference_daily	ueldb	vndb_reference_final	1
ifrcdata_db	vndb_dividends_compare	ueldb	vndb_dividends_compare	1
ifrcdata_db	vndb_dividends_daily	ueldb	vndb_dividends_daily	1
ueldb	vndb_dividends_final	ifrcdata_db	vndb_dividends_final	1
ifrcdata_db	vndb_prices_history	ueldb	vndb_prices_final	0
ifrcdata_db	vndb_events_day	ims	vndb_events_day	0
ifrcdata_db	vndb_freefloat_final	ueldb	vndb_freefloat_final	0
ifrcdata_db	vndb_currency	ueldb	vndb_currency_final	0
ifrcdata_db	vndb_ref_currency	ueldb	vndb_ref_currency_final	0
index_ifrc	idx_sample	ifrcdata_db	idx_sample	0
ifrcdata_db	etfdb_country	ueldb	etfdb_country	0
ifrcdata_db	etfdb_screener	ueldb	etfdb_screener	0
ifrcdata_db	idx_currency_day	ueldb	idx_currency_day	0
ifrcdata_db	idx_currency_month	ueldb	idx_currency_month	0
ifrcdata_db	idx_currency_year	ueldb	idx_currency_year	0
ifrcdata_db	vndb_economics_data	ueldb	vndb_economics_data	0
ifrcdata_db	vndb_economics_ref	ueldb	vndb_economics_ref	0
ifrcdata_db	ref_code_field	ueldb	ref_code_field	0
ifrcdata_db	vndb_curr_country	ueldb	vndb_curr_country	0
ifrcdata_db	vndb_news_day	ueldb	vndb_news_day_final	0
ifrcdata_db	vndb_cpaction_final	ueldb	vndb_cpaction_final	0
ifrcdata_db	vndb_dividends_history	ims	vndb_dividends_history	0
ifrcdata_db	vndb_events_day	ueldb	vndb_events_day	0
