date	currency	close
2009/09/25	USD/CLF	261.8429
2009/09/28	USD/CLF	260.9643
2009/09/29	USD/CLF	263.0387
2009/09/30	USD/CLF	263.8899
2009/10/01	USD/CLF	266.1153
2009/10/02	USD/CLF	265.9406
2009/10/05	USD/CLF	267.4763
2009/10/06	USD/CLF	265.9989
2009/10/07	USD/CLF	266.1905
2009/10/08	USD/CLF	264.7726
2009/10/09	USD/CLF	266.4418
2009/10/12	USD/CLF	266.2256
2009/10/13	USD/CLF	266.5379
2009/10/14	USD/CLF	264.3482
2009/10/15	USD/CLF	262.6877
2009/10/16	USD/CLF	262.675
2009/10/19	USD/CLF	261.2002
2009/10/20	USD/CLF	260.3692
2009/10/21	USD/CLF	258.8159
2009/10/22	USD/CLF	256.4745
2009/10/23	USD/CLF	254.7464
2009/10/26	USD/CLF	255.4332
2009/10/27	USD/CLF	253.7984
2009/10/28	USD/CLF	253.5498
2009/10/29	USD/CLF	253.6069
2009/10/30	USD/CLF	253.331
2009/11/02	USD/CLF	251.9987
2009/11/03	USD/CLF	253.1334
2009/11/04	USD/CLF	251.6226
2009/11/05	USD/CLF	249.4694
2009/11/06	USD/CLF	248.3892
2009/11/09	USD/CLF	243.8681
2009/11/10	USD/CLF	241.4415
2009/11/11	USD/CLF	241.1799
2009/11/12	USD/CLF	241.5248
2009/11/13	USD/CLF	238.8306
2009/11/16	USD/CLF	236.3363
2009/11/17	USD/CLF	234.8756
2009/11/18	USD/CLF	234.4474
2009/11/19	USD/CLF	238.3227
2009/11/20	USD/CLF	238.5392
2009/11/23	USD/CLF	234.3998
2009/11/24	USD/CLF	234.9945
2009/11/25	USD/CLF	234.715
2009/11/26	USD/CLF	235.3038
2009/11/27	USD/CLF	234.5758
2009/11/30	USD/CLF	236.4575
2009/12/01	USD/CLF	236.5028
2009/12/02	USD/CLF	239.5146
2009/12/03	USD/CLF	238.4142
2009/12/04	USD/CLF	239.0459
2009/12/07	USD/CLF	238.9675
2009/12/08	USD/CLF	239.0626
2009/12/09	USD/CLF	238.1942
2009/12/10	USD/CLF	235.8772
2009/12/11	USD/CLF	236.7958
2009/12/14	USD/CLF	236.4168
2009/12/15	USD/CLF	237.6396
2009/12/16	USD/CLF	237.2077
2009/12/17	USD/CLF	238.4668
2009/12/18	USD/CLF	240.0896
2009/12/21	USD/CLF	240.5518
2009/12/22	USD/CLF	241.878
2009/12/23	USD/CLF	242.2032
2009/12/24	USD/CLF	241.527
2009/12/25	USD/CLF	241.566
2009/12/28	USD/CLF	241.7024
2009/12/29	USD/CLF	242.343
2009/12/30	USD/CLF	242.3129
2009/12/31	USD/CLF	242.3019
2010/01/01	USD/CLF	242.3412
2010/01/04	USD/CLF	241.742
2010/01/05	USD/CLF	239.8218
2010/01/06	USD/CLF	237.3107
2010/01/07	USD/CLF	235.5662
2010/01/08	USD/CLF	236.1325
2010/01/11	USD/CLF	234.5186
2010/01/12	USD/CLF	235.1774
2010/01/13	USD/CLF	235.1549
2010/01/14	USD/CLF	235.9693
2010/01/15	USD/CLF	236.0425
2010/01/18	USD/CLF	234.0962
2010/01/19	USD/CLF	235.9904
2010/01/20	USD/CLF	237.514
2010/01/21	USD/CLF	237.7094
2010/01/22	USD/CLF	240.2532
2010/01/25	USD/CLF	242.1598
2010/01/26	USD/CLF	244.2069
2010/01/27	USD/CLF	246.9729
2010/01/28	USD/CLF	255.1361
2010/01/29	USD/CLF	251.7162
2010/02/01	USD/CLF	250.7758
2010/02/02	USD/CLF	251.6819
2010/02/03	USD/CLF	255.2823
2010/02/04	USD/CLF	264.0175
2010/02/05	USD/CLF	263.403
2010/02/08	USD/CLF	258.7343
2010/02/09	USD/CLF	259.1766
2010/02/10	USD/CLF	258.4064
2010/02/11	USD/CLF	257.5692
2010/02/12	USD/CLF	253.3458
2010/02/15	USD/CLF	253.4499
2010/02/16	USD/CLF	252.0276
2010/02/17	USD/CLF	253.7668
2010/02/18	USD/CLF	254.6314
2010/02/19	USD/CLF	254.1073
2010/02/22	USD/CLF	252.4854
2010/02/23	USD/CLF	253.2455
2010/02/24	USD/CLF	253.2526
2010/02/25	USD/CLF	253.5674
2010/02/26	USD/CLF	250.802
2010/03/01	USD/CLF	250.2043
2010/03/02	USD/CLF	247.725
2010/03/03	USD/CLF	246.905
2010/03/04	USD/CLF	247.5941
2010/03/05	USD/CLF	244.5676
2010/03/08	USD/CLF	243.271
2010/03/09	USD/CLF	243.6912
2010/03/10	USD/CLF	247.7674
2010/03/11	USD/CLF	247.6312
2010/03/12	USD/CLF	246.2953
2010/03/15	USD/CLF	246.0736
2010/03/16	USD/CLF	251.036
2010/03/17	USD/CLF	251.4171
2010/03/18	USD/CLF	251.822
2010/03/19	USD/CLF	254.6225
2010/03/22	USD/CLF	252.1941
2010/03/23	USD/CLF	255.1508
2010/03/24	USD/CLF	254.857
2010/03/25	USD/CLF	255.4447
2010/03/26	USD/CLF	252.9662
2010/03/29	USD/CLF	254.3862
2010/03/30	USD/CLF	253.421
2010/03/31	USD/CLF	249.6224
2010/04/01	USD/CLF	248.153
2010/04/02	USD/CLF	249.7146
2010/04/05	USD/CLF	246.1032
2010/04/06	USD/CLF	247.286
2010/04/07	USD/CLF	247.7165
2010/04/08	USD/CLF	244.9779
2010/04/09	USD/CLF	243.8836
2010/04/12	USD/CLF	245.5862
2010/04/13	USD/CLF	244.3436
2010/04/14	USD/CLF	246.9162
2010/04/15	USD/CLF	247.7524
