name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2002	31.6985234702123	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2003	36.4118311486037	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2004	34.4480499390778	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2005	35.0486529458036	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2006	28.1779121031462	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2007	27.0724369215567	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2008	28.3958444760637	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2009	25.7925964487659	2013/06/24
Fertilizer consumption (% of fertilizer production) - Arab World	ARB	AG.CON.FERT.PT.ZS	2010	21.8812221197854	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2002	26.607029536164	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2003	21.9415826594291	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2004	22.1596852911812	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2005	12.067102710364	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2006	19.9372125928546	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2007	10.2309174502128	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2008	28.2874669673852	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2009	13.1544633275935	2013/06/24
Fertilizer consumption (% of fertilizer production) - Caribbean small states	CSS	AG.CON.FERT.PT.ZS	2010	34.963960371745	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2002	134.867933704428	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2003	128.999335162506	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2004	117.558726591451	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2005	128.632277585341	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2006	123.634523940925	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2007	116.387969607672	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2008	111.874892639258	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2009	106.11988539774	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (all income levels)	EAS	AG.CON.FERT.PT.ZS	2010	263.369964298402	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (developing only)	EAP	AG.CON.FERT.PT.ZS	2002	131.950998525413	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (developing only)	EAP	AG.CON.FERT.PT.ZS	2003	124.422125694546	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (developing only)	EAP	AG.CON.FERT.PT.ZS	2004	113.030640423373	2013/06/24
Fertilizer consumption (% of fertilizer production) - East Asia & Pacific (developing only)	EAP	AG.CON.FERT.PT.ZS	2005	123.855298253181	2013/06/24
