source	ticker	market	date	yyyymmdd	shli	shou	shfn	pref	pcei	pflr	popn	phgh	plow	pbase	pavg	pcls	vlm	trn	last	adj_pcls	adj_coeff	shares	dividend	rt	rtd
EXC	AAA	HNX	2010/07/15	20100715	9900000	9900000	0	0	0	0	51000	53000	48000	0	0	48700	174100	8685220000	48700	43324.025974025964	1				
EXC	AAA	HNX	2010/07/16	20100716	9900000	9900000	0	49900	53300	46500	49500	49500	46500	0	0	46500	109200	5084430000	46500	41366.88311688312	1			-0.045174537987679675	-0.045174537987679675
EXC	AAA	HNX	2010/07/19	20100719	9900000	9900000	0	46600	49800	43400	49500	49500	46300	0	0	46300	104900	4918340000	46300	41188.96103896104	1			-0.004301075268817178	-0.004301075268817178
EXC	AAA	HNX	2010/07/20	20100720	9900000	9900000	0	46900	50100	43700	48000	48000	44500	0	0	45200	328700	14862930000	45200	40210.38961038961	1			-0.023758099352051865	-0.023758099352051865
EXC	AAA	HNX	2010/07/21	20100721	9900000	9900000	0	45200	48300	42100	45200	45400	44000	0	0	45100	75800	3419920000	45100	40121.42857142857	1			-0.0022123893805309214	-0.0022123893805309214
EXC	AAA	HNX	2010/07/22	20100722	9900000	9900000	0	45100	48200	42000	45100	48000	45000	0	0	45100	147200	6716430000	45100	40121.42857142857	1			0	0
EXC	AAA	HNX	2010/07/23	20100723	9900000	9900000	0	45600	48700	42500	47500	47500	45800	0	0	46000	115800	5385570000	46000	40922.07792207792	1			0.019955654101995624	0.019955654101995624
EXC	AAA	HNX	2010/07/26	20100726	9900000	9900000	0	46500	49700	43300	46100	46800	45000	0	0	45100	131700	6071250000	45100	40121.42857142857	1			-0.019565217391304346	-0.019565217391304346
EXC	AAA	HNX	2010/07/27	20100727	9900000	9900000	0	46100	49300	42900	46500	47000	45400	0	0	46100	112900	5206110000	46100	41011.03896103896	1			0.022172949002217335	0.022172949002217335
EXC	AAA	HNX	2010/07/28	20100728	9900000	9900000	0	46100	49300	42900	46900	46900	45000	0	0	45000	64300	2944080000	45000	40032.46753246753	1			-0.02386117136659438	-0.02386117136659438
