NAME,SHORTNAME,PROVIDER,PLACE,TYPE,SUB_TYPE,INDEX_PARENT,COMPO_PARENT,MEP,COMPO,DOWNLOAD,MNEMO,CODE,ISIN,REUTERS,BLOOMBERG,YAHOO,GOOGLE,LAUNCH,NB,CURR,CALCUL,FREQUENCY,PRICE,WEIGHTING,FLOAT,SHARES,CAPPING,BASE_VALUE,BASE_DATE,BASE_CAPI,HISTORY,CONTINENT,ORD,WEBSITE,URL_IDX,URL_CMP,LAST_UPDATE,CRITERIA,REV_COMPO,REV_FLOAT,ARR_FLOAT,FUTURES,OPTIONS,ETF,LEVEL3
CURRENT ACCOUNT BALANCE - ISLAMIC REPUBLIC OF AFGHANISTAN,CAB - AFGHANISTAN,WEO,Afghanistan,ECONOMICS,CAB,PCPIAFG,,,,,,BCAAFG,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - ANGOLA,CAB - ANGOLA,WEO,Angola,ECONOMICS,CAB,PCPIAGO,,,,,,BCAAGO,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - ALBANIA,CAB - ALBANIA,WEO,Albania,ECONOMICS,CAB,PCPIALB,,,,,,BCAALB,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - UNITED ARAB EMIRATES,CAB - UNITED ARAB EMIRATES,WEO,UAE,ECONOMICS,CAB,PCPIARE,,,,,,BCAARE,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - ARGENTINA,CAB - ARGENTINA,WEO,Argentina,ECONOMICS,CAB,PCPIARG,,,,,,BCAARG,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - ARMENIA,CAB - ARMENIA,WEO,Armenia,ECONOMICS,CAB,PCPIARM,,,,,,BCAARM,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - ANTIGUA AND BARBUDA,CAB - ANTIGUA AND BARBUDA,WEO,Antigua and Barbuda,ECONOMICS,CAB,PCPIATG,,,,,,BCAATG,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - AUSTRALIA,CAB - AUSTRALIA,WEO,Australia,ECONOMICS,CAB,PCPIAUS,,,,,,BCAAUS,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - AUSTRIA,CAB - AUSTRIA,WEO,Austria,ECONOMICS,CAB,PCPIAUT,,,,,,BCAAUT,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
CURRENT ACCOUNT BALANCE - AZERBAIJAN,CAB - AZERBAIJAN,WEO,Azerbaijan,ECONOMICS,CAB,PCPIAZE,,,,,,BCAAZE,,,,,, ,,,Y,Y,EC,,,,,,,,,,,,,, 2012/05/31,,,,,N,N,N,
