id	DATE	NXT_DATE
1	2011-09-30	2011-10-03
2	2011-10-03	2011-10-04
3	2011-10-04	2011-10-05
4	2011-10-05	2011-10-06
5	2011-10-06	2011-10-07
6	2011-10-07	2011-10-10
7	2011-10-10	2011-10-11
8	2011-10-11	2011-10-12
9	2011-10-12	2011-10-13
10	2011-10-13	2011-10-14
11	2011-10-14	2011-10-17
12	2011-10-17	2011-10-18
13	2011-10-18	2011-10-19
14	2011-10-19	2011-10-20
15	2011-10-20	2011-10-21
16	2011-10-21	2011-10-24
17	2011-10-24	2011-10-25
18	2011-10-25	2011-10-26
19	2011-10-26	2011-10-27
20	2011-10-27	2011-10-28
21	2011-10-28	2011-10-31
22	2011-10-31	2011-11-01
23	2011-11-01	2011-11-02
24	2011-11-02	2011-11-03
25	2011-11-03	2011-11-04
26	2011-11-04	2011-11-07
27	2011-11-07	2011-11-08
28	2011-11-08	2011-11-09
29	2011-11-09	2011-11-10
30	2011-11-10	2011-11-11
31	2011-11-11	2011-11-14
32	2011-11-14	2011-11-15
33	2011-11-15	2011-11-16
34	2011-11-16	2011-11-17
35	2011-11-17	2011-11-18
36	2011-11-18	2011-11-21
37	2011-11-21	2011-11-22
38	2011-11-22	2011-11-23
39	2011-11-23	2011-11-24
40	2011-11-24	2011-11-25
41	2011-11-25	2011-11-28
42	2011-11-28	2011-11-29
43	2011-11-29	2011-11-30
44	2011-11-30	2011-12-01
45	2011-12-01	2011-12-02
46	2011-12-02	2011-12-05
47	2011-12-05	2011-12-06
48	2011-12-06	2011-12-07
49	2011-12-07	2011-12-08
50	2011-12-08	2011-12-09
51	2011-12-09	2011-12-12
52	2011-12-12	2011-12-13
53	2011-12-13	2011-12-14
54	2011-12-14	2011-12-15
55	2011-12-15	2011-12-16
56	2011-12-16	2011-12-19
57	2011-12-19	2011-12-20
58	2011-12-20	2011-12-21
59	2011-12-21	2011-12-22
60	2011-12-22	2011-12-23
61	2011-12-23	2011-12-26
62	2011-12-26	2011-12-27
63	2011-12-27	2011-12-28
64	2011-12-28	2011-12-29
65	2011-12-29	2011-12-30
66	2011-12-30	2012-01-02
67	2012-01-02	2012-01-03
