STK_CODE	DATE	CLOSE	ADCLOSE
PXI	2011/05/17	8100.00	
PXT	2011/06/28	6200.00	
PVG	2010/05/06	27700.00	
PVG	2010/05/06	27700.00	
PCG	2011/05/24	6300.00	
PVG	2009/05/06	9100.00	
PVI	2009/05/18	30900.00	
PVX	2010/05/21	26100.00	
PGS	2009/05/20	14300.00	
PVE	2011/05/16	8700.00	
DPM	2009/04/14	41000.00	
PVS	2009/05/22	34900.00	
PXS	2011/11/23	9300.00	
PVF	2011/09/21	13600.00	
PSG	2011/04/06	8200.00	
PVF	2010/05/05	32000.00	
PXS	2011/04/07	12600.00	
PXT	2011/11/23	5200.00	
PVG	2011/05/13	11900.00	
DPM	2009/08/05	47900.00	
PVX	2010/03/08	25500.00	
PXM	2011/03/31	7800.00	
PXM	2010/11/02	11400.00	
PSI	2010/12/28	13700.00	
PXT	2011/03/24	8300.00	
PGS	2010/09/13	46000.00	
DPM	2011/09/13	34500.00	
DPM	2011/05/06	35500.00	
DPM	2010/08/11	29600.00	
PET	2009/05/06	16700.00	
PGS	2010/05/05	27900.00	
PTL	2011/05/16	8400.00	
PVC	2009/07/08	31500.00	
PVR	2011/02/21	9200.00	
PVX	2010/11/15	18900.00	
PXI	2011/11/28	5600.00	
PXS	2011/09/21	10700.00	
PGS	2011/04/20	16100.00	
PET	2010/05/07	26200.00	
PVC	2011/05/25	13200.00	
PVC	2010/05/17	47700.00	
PVE	2010/04/26	27500.00	
PVE	2009/05/06	14200.00	
DPM	2010/05/04	32800.00	
PVE	2010/12/17	16200.00	
PPS	2011/06/01	7500.00	
PXI	2010/12/24	15100.00	
PXS	2010/11/29	13600.00	
PGD	2011/08/19	35000.00	
PGD	2011/03/24	36300.00	
PGD	2010/09/01	29400.00	
PGD	2010/04/13	49000.00	
PVI	2011/08/16	15600.00	
PVS	2010/12/09	20800.00	
PET	2011/05/18	11700.00	
PVI	2010/05/10	29000.00	
PVI	2010/05/10	29000.00	
PGD	2009/12/09	53000.00	
PGS	2010/12/07	25200.00	
PVD	2011/02/23	52000.00	
PVS	2010/05/10	36500.00	
DPM	2011/12/09	28100.00	
DPM	2011/12/08	28800.00	
DPM	2011/12/07	29300.00	
DPM	2011/12/06	29800.00	
DPM	2011/12/05	30000.00	
DPM	2011/12/02	29200.00	
DPM	2011/12/01	29000.00	
DPM	2011/11/30	28900.00	
DPM	2011/11/29	29300.00	
DPM	2011/11/28	29200.00	
DPM	2011/11/25	29100.00	
DPM	2011/11/24	29200.00	
DPM	2011/11/23	29400.00	
DPM	2011/11/22	28900.00	
DPM	2011/11/21	28900.00	
DPM	2011/11/18	29100.00	
DPM	2011/11/17	29100.00	
DPM	2011/11/16	29100.00	
DPM	2011/11/15	28800.00	
DPM	2011/11/14	29300.00	
DPM	2011/11/11	29900.00	
DPM	2011/11/10	30400.00	
DPM	2011/11/09	30600.00	
DPM	2011/11/08	30700.00	
DPM	2011/11/07	30300.00	
DPM	2011/11/04	30700.00	
DPM	2011/11/03	31000.00	
DPM	2011/11/02	31000.00	
DPM	2011/11/01	32000.00	
DPM	2011/10/31	32100.00	
DPM	2011/10/28	32700.00	
DPM	2011/10/27	32100.00	
DPM	2011/10/26	32300.00	
DPM	2011/10/25	32000.00	
DPM	2011/10/24	32100.00	
DPM	2011/10/21	32200.00	
DPM	2011/10/20	32100.00	
