Nr	TABLE	MYSQL	DBF	TXT	ACTIVE
1	IDX_CALENDAR	IDX_CALENDAR	IDX_CALENDAR	IDX_CALENDAR.TXT	9
2	MAR_REF	MAR_REF	MAR_REF	MAR_REF.TXT	9
3	SEC_REF	SEC_REF	SEC_REF	SEC_REF.TXT	9
4	STK_REF	STK_REF	STK_REF	STK_REF.TXT	9
5	IDX_REF	IDX_REF	IDX_REF	IDX_REF.TXT	9
6	STK_PRICES	STK_PRICES	STK_PRICES	STK_PRICES.TXT	9
7	CUR_RATES	CUR_RATES	CUR_RATES	CUR_RATES.TXT	9
8	IDX_COMPO	IDX_COMPO	IDX_COMPO	IDX_COMPO.TXT	9
9	IDX_COMPOSITION	IDX_COMPOSITION	IDX_COMPOSITION	IDX_COMPOSITION.TXT	1
10	IDX_SPECS	IDX_SPECS	IDX_SPECS	IDX_SPECS.TXT	9
11	IDX_CA	IDX_CA	IDX_CA	IDX_CA.TXT	1
12	STK_DIV	STK_DIV	STK_DIV	STK_DIV.TXT	1
13	SUMMARY	SUMMARY	SUMMARY	SUMMARY.TXT	1
14	FILESLIST	FILESLIST	FILESLIST	FILESLIST.TXT	1
