id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE	dvar
19990	PVN10PRVND	PVN 10 	VND	1000	P	PVN10PRVND	30000000000000.000000	39491866310320.600000	1316.395544	2012/09/13	0:00:00	10	1	0		1032314040887.970000	0	  	  	Blue Chips	1.000000	1358.26		-3.082212
19991	PVN10PRUSD	PVN 10 (USD)	USD	1000	P	PVN10PRVND	1428571428.571430	1804105359.082710	1262.873751	2012/09/13	0:00:00	10	1	0		47159161.301415	0	  	  	Blue Chips	21890.000000	1198.411		5.379019
19992	PVN10PRJPY	PVN 10 (JPY)	JPY	1000	P	PVN10PRVND	113207547169.811000	140042079114.612000	1237.038366	2012/09/13	0:00:00	10	1	0		3660688088.255220	0	  	  	Blue Chips	282.000000	1200.989		3.001640
19993	PVN10PREUR	PVN 10 (EUR)	EUR	1000	P	PVN10PRVND	1034482758.620690	1324755634.904020	1280.597114	2012/09/13	0:00:00	10	1	0		34629000.106270	0	  	  	Blue Chips	29810.680000	1309.029		-2.171983
19994	PVN10TRVND	PVN 10 TR 	VND	1000	R	PVN10PRVND	30000000000000.000000	39491866310320.600000	1469.314063	2012/09/13	0:00:00	10	1	0		1032314040887.970000	0	  	  	Blue Chips	1.000000	1477.422		-0.548790
19995	PVN10TRUSD	PVN 10 TR (USD)	USD	1000	R	PVN10PRVND	1428571428571.430000	1804105359.082710	1380.064949	2012/09/13	0:00:00	10	1	0		47159161.301415	0	  	  	Blue Chips	21890.000000	1309.586		5.381773
19996	PVN10TRJPY	PVN 10 TR (JPY)	JPY	1000	R	PVN10PRVND	113207547169.811000	140042079114.612000	1464.825019	2012/09/13	0:00:00	10	1	0		3660688088.255220	0	  	  	Blue Chips	282.000000	1385.91		5.694094
19997	PVN10TREUR	PVN 10 TR (EUR)	EUR	1000	R	PVN10PRVND	1034482758620.690000	1324755634.904020	1135.409906	2012/09/13	0:00:00	10	1	0		34629000.106270	0	  	  	Blue Chips	29810.680000	1160.588		-2.169426
19998	PVNASPRVND	PVN ALLSHARE 	VND	1000	P	PVNASPRVND	35000000000000.000000	49683919830700.000000	1419.540567	2012/09/13	0:00:00	30	1	0		2288862544800.000000	1	#REF!	#REF!	Benchmark	1.000000	1419.541		-0.000031
19999	PVNASPRUSD	PVN ALLSHARE (USD)	USD	1000	P	PVNASPRVND	1666666666.666670	2269708534.979440	1361.825121	2012/09/13	0:00:00	30	1	0		104562016.665144	1	#REF!	#REF!	Benchmark	21890.000000	1403.955		-3.000800
