TICKER	DATES	TIMES	STK_LAST
AAM	2012/09/13	12:00:00	26100
ABT	2012/09/13	12:00:00	38300
ACC	2012/09/13	12:00:00	23300
ACL	2012/09/13	12:00:00	15300
AGD	2012/09/13	12:00:00	0
AGF	2012/09/13	12:00:00	0
AGR	2012/09/13	12:00:00	5800
ALP	2012/09/13	12:00:00	7600
ANV	2012/09/13	12:00:00	7400
APC	2012/09/13	12:00:00	11200
ASIAGF	2012/09/13	12:00:00	0
ASM	2012/09/13	12:00:00	8200
ASP	2012/09/13	12:00:00	3900
ATA	2012/09/13	12:00:00	5500
AVF	2012/09/13	12:00:00	6700
BBC	2012/09/13	12:00:00	15600
BCE	2012/09/13	12:00:00	7800
BCI	2012/09/13	12:00:00	0
BGM	2012/09/13	12:00:00	3800
BHS	2012/09/13	12:00:00	16600
BIC	2012/09/13	12:00:00	6400
BMC	2012/09/13	12:00:00	50500
BMI	2012/09/13	12:00:00	8200
BMP	2012/09/13	12:00:00	41200
BRC	2012/09/13	12:00:00	11900
BSI	2012/09/13	12:00:00	4800
BT6	2012/09/13	12:00:00	0
BTP	2012/09/13	12:00:00	5800
BTT	2012/09/13	12:00:00	23000
BVH	2012/09/13	12:00:00	27500
C21	2012/09/13	12:00:00	17800
C47	2012/09/13	12:00:00	11300
CCI	2012/09/13	12:00:00	9300
CCL	2012/09/13	12:00:00	4300
CDC	2012/09/13	12:00:00	5800
CIG	2012/09/13	12:00:00	3500
CII	2012/09/13	12:00:00	25700
CLC	2012/09/13	12:00:00	15000
CLG	2012/09/13	12:00:00	5000
CLW	2012/09/13	12:00:00	10200
CMG	2012/09/13	12:00:00	3700
CMT	2012/09/13	12:00:00	5600
CMV	2012/09/13	12:00:00	17700
CMX	2012/09/13	12:00:00	3900
CNG	2012/09/13	12:00:00	26100
CNT	2012/09/13	12:00:00	6900
COM	2012/09/13	12:00:00	0
CSG	2012/09/13	12:00:00	11000
CSM	2012/09/13	12:00:00	25800
CTD	2012/09/13	12:00:00	30000
CTG	2012/09/13	12:00:00	18800
CTI	2012/09/13	12:00:00	8300
CYC	2012/09/13	12:00:00	0
D2D	2012/09/13	12:00:00	18800
DAG	2012/09/13	12:00:00	0
DCL	2012/09/13	12:00:00	9100
DCT	2012/09/13	12:00:00	3500
DDM	2012/09/13	12:00:00	1900
DHA	2012/09/13	12:00:00	9400
DHC	2012/09/13	12:00:00	6000
DHG	2012/09/13	12:00:00	74000
DHM	2012/09/13	12:00:00	13200
DIC	2012/09/13	12:00:00	6600
DIG	2012/09/13	12:00:00	12800
DLG	2012/09/13	12:00:00	3900
DMC	2012/09/13	12:00:00	26000
DPM	2012/09/13	12:00:00	39200
DPR	2012/09/13	12:00:00	52500
DQC	2012/09/13	12:00:00	16000
DRC	2012/09/13	12:00:00	25100
DRH	2012/09/13	12:00:00	2700
DRL	2012/09/13	12:00:00	24000
DSN	2012/09/13	12:00:00	37300
DTA	2012/09/13	12:00:00	4100
DTL	2012/09/13	12:00:00	13100
DTT	2012/09/13	12:00:00	5900
DVP	2012/09/13	12:00:00	0
DXG	2012/09/13	12:00:00	8600
DXV	2012/09/13	12:00:00	5800
EIB	2012/09/13	12:00:00	14600
ELC	2012/09/13	12:00:00	0
EVE	2012/09/13	12:00:00	20800
FBT	2012/09/13	12:00:00	9100
FCN	2012/09/13	12:00:00	17400
FDC	2012/09/13	12:00:00	17100
FDG	2012/09/13	12:00:00	13400
FMC	2012/09/13	12:00:00	10200
FPT	2012/09/13	12:00:00	38700
GAS	2012/09/13	12:00:00	41300
GDT	2012/09/13	12:00:00	15000
GIL	2012/09/13	12:00:00	41500
GMC	2012/09/13	12:00:00	19700
GMD	2012/09/13	12:00:00	17000
GSP	2012/09/13	12:00:00	5500
GTA	2012/09/13	12:00:00	7900
GTT	2012/09/13	12:00:00	5800
HAG	2012/09/13	12:00:00	23700
HAI	2012/09/13	12:00:00	18300
HAP	2012/09/13	12:00:00	4400
HAS	2012/09/13	12:00:00	0
HAX	2012/09/13	12:00:00	4000
HBC	2012/09/13	12:00:00	12700
HCM	2012/09/13	12:00:00	18300
HDC	2012/09/13	12:00:00	15500
HDG	2012/09/13	12:00:00	11400
HHS	2012/09/13	12:00:00	32000
HLA	2012/09/13	12:00:00	3900
HLG	2012/09/13	12:00:00	9500
HMC	2012/09/13	12:00:00	8700
HOT	2012/09/13	12:00:00	0
HPG	2012/09/13	12:00:00	20400
HQC	2012/09/13	12:00:00	3800
HRC	2012/09/13	12:00:00	0
HSG	2012/09/13	12:00:00	18300
HSI	2012/09/13	12:00:00	7200
HT1	2012/09/13	12:00:00	4700
HTI	2012/09/13	12:00:00	7600
HTL	2012/09/13	12:00:00	3800
HTV	2012/09/13	12:00:00	11800
HU1	2012/09/13	12:00:00	8300
HU3	2012/09/13	12:00:00	9000
HVG	2012/09/13	12:00:00	24600
HVX	2012/09/13	12:00:00	0
ICF	2012/09/13	12:00:00	3600
IDI	2012/09/13	12:00:00	7500
IFS	2012/09/13	12:00:00	0
IJC	2012/09/13	12:00:00	8900
IMP	2012/09/13	12:00:00	39300
ITA	2012/09/13	12:00:00	5000
ITC	2012/09/13	12:00:00	7100
ITD	2012/09/13	12:00:00	5600
JVC	2012/09/13	12:00:00	18300
KAC	2012/09/13	12:00:00	12000
KBC	2012/09/13	12:00:00	6500
KDC	2012/09/13	12:00:00	28000
KDH	2012/09/13	12:00:00	11900
KHA	2012/09/13	12:00:00	9400
KHP	2012/09/13	12:00:00	7900
KMR	2012/09/13	12:00:00	3000
KSA	2012/09/13	12:00:00	11700
KSB	2012/09/13	12:00:00	18000
KSH	2012/09/13	12:00:00	7000
KSS	2012/09/13	12:00:00	6900
KTB	2012/09/13	12:00:00	7600
L10	2012/09/13	12:00:00	7900
LAF	2012/09/13	12:00:00	7000
LBM	2012/09/13	12:00:00	9200
LCG	2012/09/13	12:00:00	7300
LCM	2012/09/13	12:00:00	13200
LGC	2012/09/13	12:00:00	16900
LGL	2012/09/13	12:00:00	3700
LHG	2012/09/13	12:00:00	14600
LIX	2012/09/13	12:00:00	28000
LM8	2012/09/13	12:00:00	9000
LSS	2012/09/13	12:00:00	18200
MAFPF1	2012/09/13	12:00:00	3500
MBB	2012/09/13	12:00:00	13600
