TABLE	DBF	FIELD	FIELD_DBF	HEADER	WIDTH	ALIGN	FORMAT	DECIMAL	ORDER	EDITTYPE	EDITOPTION	FIELD_LEN	EXAMPLE
IDX_CALENDAR	IDX_CALENDAR	id	ID	ID	50	C	N	0	1	text	value G|C:CENTER;L:LEFT;R:RIGHT	11	1
IDX_CALENDAR	IDX_CALENDAR	prev_date	PREV_DATE	PREVIOUS DATE	100	C	D	0	3	text	value H|C:CHAR;N:NUMBER;I:IMAGE	8	41155
IDX_CALENDAR	IDX_CALENDAR	date	DATE	DATE	100	C	D	0	2	text	value K|text:TEXT;select:SELECT;textarea:TEXTARE	8	41156
MAR_REF	MAR_REF	id	ID	ID	50	C	N	0	1	text		11	1
MAR_REF	MAR_REF	mar_code	MAR_CODE	CODE	200	C	C	0	2	textarea	255	HNX	
MAR_REF	MAR_REF	mar_name	MAR_NAME	NAME	200	C	C	0	3	textarea	255	Hanoi Stock Exchange	
MAR_REF	MAR_REF	mar_name_vn	MAR_NAME_VN	NAME (VN)	200	C	C	0	4	textarea	255	S? giao d?ch ch?ng khoán Hà N?i	
SEC_REF	SEC_REF	id	ID	ID	50	C	N	0	1	text	11	1	
SEC_REF	SEC_REF	sec_code	SEC_CODE	CODE	255	C	C	0	2	textarea	255	PVNBM	
SEC_REF	SEC_REF	sec_name	SEC_NAME	SECTOR	255	C	C	0	3	textarea	255	PVN Basic Materials	
SEC_REF	SEC_REF	sec_name_vn	SEC_NAME_VN	NAME (VN)	255	C	C	0	4	textarea	255	PVN V?t Li?u C? B?n	
SEC_REF	SEC_REF	uni_code	UNI_CODE	UNICODE	255	C	C	0	5	textarea	255	14	
STK_REF	STK_REF	id	ID	ID	50	C	N	0	1	text	11		
STK_REF	STK_REF	stk_code	STK_CODE	STKCODE	255	C	C	0	4	textarea	255		
STK_REF	STK_REF	stk_name	STK_NAME	STKNAME	255	C	C	0	5	textarea	255		
STK_REF	STK_REF	stk_name_sn	STK_NAME_SN	STKNAMESN	255	C	C	0	6	textarea	255		
STK_REF	STK_REF	stk_name_vn	STK_NAME_VN	STKNAMEVN	255	C	C	0	7	textarea	255		
STK_REF	STK_REF	stk_name_sn_vn	STK_NAME_SN_VN	STKNAMESNVN	255	C	C	0	8	textarea	255		
STK_REF	STK_REF	stk_market	STK_MARKET	STKMARKET	255	C	C	0	9	textarea	255		
STK_REF	STK_REF	stk_sector	STK_SECTOR	STKSECTOR	255	C	C	0	10	textarea	255		
STK_REF	STK_REF	stk_curr	STK_CURR	STKCURR	255	C	C	0	11	textarea	255		
STK_REF	STK_REF	stk_mult	STK_MULT	STKMULT	255	C	F	0	12	textarea	255		
STK_REF	STK_REF	ric_code	RIC_CODE	RICCODE	255	C	C	0	13	textarea	255		
STK_REF	STK_REF	bl_code	BL_CODE	BLCODE	255	C	C	0	2	textarea	255		
STK_REF	STK_REF	pvnsample	PVNSAMPLE	PVNSAMPLE	50	C	smallint	0	14	text	6		
STK_REF	STK_REF	ipo	IPO	IPO	50	C	D	0	3	text	8		
STK_REF	STK_REF	uni_code	UNI_CODE	UNICODE	200	C	C	0	15	textarea	255		
IDX_REF	IDX_REF	id	ID	ID	50	C	N	0	1	text	11	1	
IDX_REF	IDX_REF	idx_code	IDX_CODE	IDXCODE	200	C	C	0	2	textarea	255	PVN10JPYGR	
IDX_REF	IDX_REF	idx_name	IDX_NAME	IDXNAME	200	C	C	0	3	textarea	255	PVN 10 GR (JPY)	
IDX_REF	IDX_REF	idx_name_sn	IDX_NAME_SN	IDXNAMESN	200	C	C	0	4	textarea	255		
IDX_REF	IDX_REF	idx_name_sn_vn	IDX_NAME_SN_VN	IDXNAMESNVN	200	C	C	0	5	textarea	255	NULL	
IDX_REF	IDX_REF	idx_curr	IDX_CURR	IDXCURR	200	C	C	0	6	textarea	255	JPY	
IDX_REF	IDX_REF	idx_base	IDX_BASE	IDXBASE	100	C	N	0	7	text	255	1000	
IDX_REF	IDX_REF	idx_base_capi	IDX_BASE_CAPI	IDXBASECAPI	100	C	N	0	8	text	255	0	
IDX_REF	IDX_REF	idx_dtbase	IDX_DTBASE	IDXDTBASE	200	C	C	0	9	textarea	255		
IDX_REF	IDX_REF	idx_type	IDX_TYPE	IDXTYPE	200	C	C	0	10	textarea	255	R	
IDX_REF	IDX_REF	idx_mother	IDX_MOTHER	IDXMOTHER	200	C	C	0	11	textarea	255	PVN10JPY	
IDX_REF	IDX_REF	idx_bbs	IDX_BBS	IDXBBS	200	C	C	0	12	textarea	255	Blue Chips	
IDX_REF	IDX_REF	idx_ncompo	IDX_NCOMPO	IDXNCOMPO	200	C	C	0	13	textarea	255		
IDX_REF	IDX_REF	idx_wgt_type	IDX_WGT_TYPE	IDXWGTTYPE	200	C	C	0	14	textarea	255		
IDX_REF	IDX_REF	idx_frequency	IDX_FREQUENCY	IDXFREQUENCY	200	C	C	0	15	textarea	255		
IDX_REF	IDX_REF	idx_capp	IDX_CAPP	IDXCAPP	200	C	C	0	16	textarea	255		
IDX_REF	IDX_REF	idx_qlf	IDX_QLF	IDXQLF	200	C	C	0	17	textarea	255		
IDX_REF	IDX_REF	idx_compo_rev	IDX_COMPO_REV	IDXCOMPOREV	200	C	C	0	18	textarea	255		
IDX_REF	IDX_REF	idx_shares_rev	IDX_SHARES_REV	IDXSHARESREV	200	C	C	0	19	textarea	255		
IDX_REF	IDX_REF	idx_frev	IDX_FREV	IDXFREV	200	C	C	0	20	textarea	255		
IDX_REF	IDX_REF	idx_fbanding	IDX_FBANDING	IDXFBANDING	200	C	C	0	21	textarea	255		
