ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
AAA	HNX	2010/07/15	9900000	48700	
AAM	HSX	2009/09/24	8100000	45600	
ABI	UPC	2009/07/16	38000000	24000	
ABT	HSX	2006/12/25	3300000	90000	
ACC	HSX	2011/06/30	10000000	25000	
ACC	UPC	2009/12/22	6000000	30000	2011/06/23
ACE	UPC	2009/11/11	2300000	25000	
ACL	HSX	2007/09/05	9000000	81000	
ADC	HNX	2010/12/24	1000000	11300	
ADP	UPC	2010/02/02	5000000	0	
AGC	HNX	2009/01/05	8300000	17100	
AGD	HSX	2010/01/07	8000000	30000	
AGF	HSX	2002/05/02	6400622	30000	
AGM	HSX	2012/12/14	18200000	20200	
AGR	HSX	2009/12/10	120000000	25600	
ALP	HSX	2007/12/18	30000000	63500	
ALT	HNX	2009/07/27	4933905	24900	
ALT	HSX	2006/11/22	1331430	32000	2009/07/10
ALV	HNX	2010/09/17	1500000	32500	
AMC	HNX	2012/02/15	2739743	15600	
AME	HNX	2010/06/02	12000000	24100	
AMV	HNX	2009/12/30	2100000	17000	
ANV	HSX	2007/12/07	66000000	98000	
APC	HSX	2010/02/05	8640000	39000	
APG	HNX	2010/04/05	13500000	15700	
API	HNX	2010/09/13	26400000	15200	
API	UPC	2009/10/26	26400000	9000	2010/09/01
APP	HNX	2010/10/05	2722500	32000	
APS	HNX	2010/04/19	26000000	14800	
APS	UPC	2009/06/24	26000000	13100	2010/04/08
ARM	HNX	2010/10/26	2592740	21500	
ASA	HNX	2012/03/12	3000000	11100	
ASIAGF	HSX	2012/06/26	24008000	10200	
ASM	HSX	2010/01/18	9912600	45600	
ASP	HSX	2008/02/15	12600000	43500	
ATA	HSX	2009/09/09	10000000	24000	
AVF	HSX	2010/11/23	22500000	26000	
AVS	HNX	2010/04/22	36000000	15500	
B82	HNX	2008/03/17	1500000	45000	
BAS	HSX	2008/11/11	9600000	14400	
BBC	HSX	2001/12/19	5600000	27000	
BBS	HNX	2005/12/28	4000000	12000	
BBT	HSX	2004/03/15	1140000	21600	
BCC	HNX	2006/11/24	90000000	18700	
BCE	HSX	2010/06/28	20000000	24000	
BCI	HSX	2009/03/16	54200000	24000	
BDB	HNX	2010/01/29	1126474	11000	
BED	HNX	2009/10/21	3000000	30000	
BGM	HSX	2011/06/20	16800000	24000	
BHC	HNX	2009/05/15	4500000	19500	
BHS	HSX	2006/12/20	16200000	60000	
BHT	HNX	2011/01/11	2565000	18000	
BHV	HNX	2006/11/22	900000	15000	
BIC	HSX	2011/09/06	66000000	9200	
BKC	HNX	2009/08/18	3748300	48200	
BLF	HNX	2008/06/02	5000000	10800	
BMC	HSX	2006/12/28	1311400	50000	
BMI	HSX	2008/04/21	75500000	38400	
BMI	HNX	2006/11/28	43400000	74100	2008/04/04
BMJ	UPC	2009/12/22	6000000	30000	
BMP	HSX	2006/07/11	10718000	67000	
BPC	HNX	2002/04/11	3800000	25000	
BPC	HSX	2009/06/08	3800000	14200	2009/05/28
BRC	HSX	2011/12/13	8249998	12800	
