MARKET	PER	DATE	YYYYMMDD	YYYYMM	YYYY	SVLM_EXC	STRN_EXC	SVLMKL_EXC	STRNKL_EXC	SVLMTT_EXC	STRNTT_EXC
HSX	D	2013/02/21	20130221	201302	2013	120694330	1567306502000				
HSX	D	2013/02/20	20130220	201302	2013	75762750	1119669539000				
HSX	D	2013/02/19	20130219	201302	2013	100720350	1411267875000				
HSX	D	2013/02/18	20130218	201302	2013	67459100	927187722000	69657400	929387308000		
HSX	D	2013/02/08	20130208	201302	2013	58548450	733789773000	58838750	736319882000		
HSX	D	2013/02/07	20130207	201302	2013	66274350	889765907000	66319750	890205747000		
HSX	D	2013/02/06	20130206	201302	2013	60937550	964959134000	61098630	966595774000		
HSX	D	2013/02/05	20130205	201302	2013	52999720	913116871000	53187860	914972271000		
HSX	D	2013/02/04	20130204	201302	2013	50047920	758822189000	50205730	760457385000		
HSX	D	2013/02/01	20130201	201302	2013	57536060	851065274000	57696770	852311494000		
HSX	D	2013/01/31	20130131	201301	2013	76820060	1041223032000	77448750	1048041243000		
HSX	D	2013/01/30	20130130	201301	2013	81446770	1223871703000	81816460	1227297797000		
HSX	D	2013/01/29	20130129	201301	2013	83176500	1242245725000	83689610	1248113632000		
HSX	D	2013/01/28	20130128	201301	2013	103000190	1510585980000	103940640	1519059754000		
HSX	D	2013/01/25	20130125	201301	2013	79973110	1105880274000	80711500	1112517899000		
HSX	D	2013/01/24	20130124	201301	2013	46208480	597062825000	46685140	601320369000		
HSX	D	2013/01/23	20130123	201301	2013	46400670	587620104000	47085470	594014943000		
HSX	D	2013/01/22	20130122	201301	2013	64669860	823392957000	65199100	827752537000		
HSX	D	2013/01/21	20130121	201301	2013	52073830	640522955000	52791190	646369572000		
HSX	D	2013/01/18	20130118	201301	2013	80022560	937966958000	80290320	940493140000		
HSX	D	2013/01/17	20130117	201301	2013	93576900	1141689699000	93851780	1144033579000		
HSX	D	2013/01/16	20130116	201301	2013	92861310	1289562114000	93433920	1294057492000		
HSX	D	2013/01/15	20130115	201301	2013	84624860	1055740893000	85189720	1061320422000		
HSX	D	2013/01/14	20130114	201301	2013	66565870	905301191000	66848260	908319908000		
HSX	D	2013/01/11	20130111	201301	2013	71058060	1114011758000	71735970	1119948712000		
HSX	D	2013/01/10	20130110	201301	2013	68623390	1040974537000	69049730	1045062689000		
HSX	D	2013/01/09	20130109	201301	2013	130412420	1792435403000	131421730	1799937554000		
HSX	D	2013/01/08	20130108	201301	2013	80132580	1197141333000	81496290	1208626539000		
HSX	D	2013/01/07	20130107	201301	2013	73641390	1054402105000	75004280	1064828264000		
HSX	D	2013/01/04	20130104	201301	2013	62366030	753729308000	62614690	755888972000		
HSX	D	2013/01/03	20130103	201301	2013	95661730	1035611642000	96108870	1038929662000		
HSX	D	2013/01/02	20130102	201301	2013	60093450	710823831000	60311180	712119352000		
HSX	D	2012/12/28	20121228	201212	2012	53735280	637615098000	54265930	641849515000		
HSX	D	2012/12/27	20121227	201212	2012	69143940	816348095000	69702680	821157552000		
HSX	D	2012/12/26	20121226	201212	2012	52457250	598884590000	52980150	604091365000		
HSX	D	2012/12/25	20121225	201212	2012	42591790	513389115000				
HSX	D	2012/12/24	20121224	201212	2012	37140060	472602871000				
HSX	D	2012/12/21	20121221	201212	2012	61282240	828461216000				
HSX	D	2012/12/20	20121220	201212	2012	61115790	707994881000				
HSX	D	2012/12/19	20121219	201212	2012	63978390	788757232000				
HSX	D	2012/12/18	20121218	201212	2012	43981040	499459982000				
HSX	D	2012/12/17	20121217	201212	2012	44263450	536834316000				
HSX	D	2012/12/14	20121214	201212	2012	33860310	392919513000				
HSX	D	2012/12/13	20121213	201212	2012	41120180	428388286000				
HSX	D	2012/12/12	20121212	201212	2012	45364020	471940977000				
HSX	D	2012/12/11	20121211	201212	2012	34664270	398309107000				
HSX	D	2012/12/10	20121210	201212	2012	37915970	374032983000				
HSX	D	2012/12/07	20121207	201212	2012	25745210	283194578000				
HSX	D	2012/12/06	20121206	201212	2012	26683420	252372992000				
HSX	D	2012/12/05	20121205	201212	2012	35452170	374395104000				
HSX	D	2012/12/04	20121204	201212	2012	23341800	256740883000				
HSX	D	2012/12/03	20121203	201212	2012	16787630	211718681000				
HSX	D	2012/11/30	20121130	201211	2012	16201630	200140735000				
HSX	D	2012/11/29	20121129	201211	2012	14394410	170180669000				
HSX	D	2012/11/28	20121128	201211	2012	15889660	202915145000				
HSX	D	2012/11/27	20121127	201211	2012	13866320	161437733000				
HSX	D	2012/11/26	20121126	201211	2012	19089680	217626682000				
HSX	D	2012/11/23	20121123	201211	2012	18217110	231114075000				
HSX	D	2012/11/22	20121122	201211	2012	14316960	178399040000				
HSX	D	2012/11/21	20121121	201211	2012	18737050	262024236000				
HSX	D	2012/11/20	20121120	201211	2012	20735380	251913994000				
HSX	D	2012/11/19	20121119	201211	2012	18202220	240005883000				
HSX	D	2012/11/16	20121116	201211	2012	18064430	197511762000				
HSX	D	2012/11/15	20121115	201211	2012	23829140	286191152000				
HSX	D	2012/11/14	20121114	201211	2012	21575190	285182380000				
HSX	D	2012/11/13	20121113	201211	2012	26991190	298537053000				
HSX	D	2012/11/12	20121112	201211	2012	32685490	357932607000				
HSX	D	2012/11/09	20121109	201211	2012	22940280	285729325000				
HSX	D	2012/11/08	20121108	201211	2012	20667530	292209115000				
HSX	D	2012/11/07	20121107	201211	2012	26810480	299455401000				
HSX	D	2012/11/06	20121106	201211	2012	21764900	245381786000				
HSX	D	2012/11/05	20121105	201211	2012	27167180	297803824000				
HSX	D	2012/11/02	20121102	201211	2012	50796480	589433159000				
