DATE	YYYYMMDD	YYYYMM	YYYY	MARKET	VLM	TRN
2012/12/28	20121228	12	2012	HNX	11194585400	95768507440000
2012/12/07	20121207	12	2011	HNX	7051507500	84812899090000
2012/12/07	20121207	12	2010	HNX	8270292700	228367284600000
2012/12/07	20121207	12	2009	HNX	5589833300	191011468760000
2012/12/07	20121207	12	2008	HNX	1467739300	54084212160000
2012/12/07	20121207	12	2007	HNX	573670400	59587946540000
2012/12/07	20121207	12	2006	HNX	64852900	2925646126000
2012/12/07	20121207	12	2005	HNX	267000	3654934530
2012/12/28	20121228	12	2012	HSX	11574364850	162223585000000
2012/12/07	20121207	12	2011	HSX	6540499520	118184066000000
2012/12/07	20121207	12	2010	HSX	10486614950	335525485000000
2012/12/07	20121207	12	2009	HSX	9919374710	510526351000000
2012/12/07	20121207	12	2008	HSX	2752317290	185765679000000
2012/12/07	20121207	12	2007	HSX	1714809670	190244625000000
2012/12/07	20121207	12	2006	HSX	491577060	32307919000000
2012/12/07	20121207	12	2005	HSX	79266180	2261474000000
2012/12/07	20121207	12	2004	HSX	63181900	1701002000000
2012/12/07	20121207	12	2003	HSX	23579220	412102000000
2012/12/07	20121207	12	2002	HSX	29641000	784474000000
2012/12/07	20121207	12	2001	HSX	16004229	923349000000
