STK_CODE	IDX_CODE	DATE	NEW_SHARES	NXT_FREE_FLOAT	NXT_CAPPING	ADJ_CLOSE	INTRO	REMOVAL
DPM	PVN10PRVND	2012/09/13	583153266	100	100	84000.00		
PVX	PVN10PRVND	2012/09/13	389740215	100	100	23000.00		
PVD	PVN10PRVND	2012/09/13	980000000	100	100	16000.00		
PVI	PVN10PRVND	2012/09/13	597802094	100	100	14000.00		
PET	PVN10PRVND	2012/09/13	150000000	100	100	22000.00		
PVS	PVN10PRVND	2012/09/13	57531264	100	100	16000.00		
PGS	PVN10PRVND	2012/09/13	142900000	100	100	26000.00		
PVC	PVN10PRVND	2012/09/13	156000000 	100	100	37700.00		
PGD	PVN10PRVND	2012/09/13	132600000 	100	100	12300.00		
PVF	PVN10PRVND	2012/09/13	197802094 	100	100	10900.00		
PTT	PVN10PRVND	2012/09/13	10000000	100	100	10800.00	1	
NT2	PVN10PRVND	2012/09/13	756000000	90	90	55000.00	1	
PCT	PVN10PRVND	2012/09/13	138000000	100	100	5800.00	1	
PPE	PVN10PRVND	2012/09/13	27719850	100	100	14700.00	1	
PVT	PVN10PRVND	2012/09/13	232600000	100	100	23600.00	1	
PTL	PVN10PRVND	2012/09/13	15000000	100	100	38000.00	1	
