STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
DPM	PVN Fertilizer and Chemicals	377647740	95.23	100	39200.000	VND	1	1.00	39200.000	14097650557838.40 	2012/09/13	0:00:00	503487519922.80	 1,400.00 	 1,400.00 	VND	PVN10PRVND	35.70%						0
PVX	PVN Construction	209740215	100	92.12345679	5200.000	VND	1	1.00	5200.000	1004743668940.34 	2012/09/13	0:00:00		  	  	VND	PVN10PRVND	2.54%						0
PVD	PVN Drilling & Well Services	600000000	20	100	35000.000	VND	1	1.00	35000.000	4200000000000.00 	2012/09/13	0:00:00	264000000000.00	 2,200.00 	 2,200.00 	VND	PVN10PRVND	10.64%						0
PVF	PVN Finance	297802094	15	84.123	8300.000	VND	1	1.00	8300.000	311897469141.85 	2012/09/13	0:00:00	18789004165.17	 500.00 	 500.00 	VND	PVN10PRVND	0.79%						0
PVS	PVN Technical Services	250000000	100	100	15200.000	VND	1	1.00	15200.000	3800000000000.00 	2012/09/13	0:00:00		  	  	VND	PVN10PRVND	9.62%						0
PGS	PVN Southern Gas	157531264	100	100	17100.000	VND	1	1.00	17100.000	2693784614400.00 	2012/09/13	0:00:00	189037516800.00	 1,200.00 	 1,200.00 	VND	PVN10PRVND	6.82%						0
PVI	PVN Insurance	42900000	100	100	15900.000	VND	1	1.00	15900.000	682110000000.00 	2012/09/13	0:00:00		  	  	VND	PVN10PRVND	1.73%						0
PVC	Drilling Mud Corp	256000000	100	100	12700.000	VND	1	1.00	12700.000	3251200000000.00 	2012/09/13	0:00:00		  	  	VND	PVN10PRVND	8.23%						0
PGD	PVN Low Pressure Gas Distribution	232600000	100	100	38800.000	VND	1	1.00	38800.000	9024880000000.00 	2012/09/13	0:00:00		  	  	VND	PVN10PRVND	22.85%						0
PET	PVN General Services	38000000	100	100	11200.000	VND	1	1.00	11200.000	425600000000.00 	2012/09/13	0:00:00	57000000000.00	 1,500.00 	 1,500.00 	VND	PVN10PRVND	1.08%						0
PVD	PVN Drilling & Well Services	377647740	100	100	35000.000	VND	1	1.00	35000.000	13217670900000.00 	2012/09/13	0:00:00	830825028000.00	 2,200.00 	 2,200.00 	VND	PVNASPRVND	33.47%						0
PVI	PVN Insurance	209740215	100	100	15900.000	VND	1	1.00	15900.000	3334869418500.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	8.44%						0
PET	PVN General Services	600000000	100	100	11200.000	VND	1	1.00	11200.000	6720000000000.00 	2012/09/13	0:00:00	900000000000.00	 1,500.00 	 1,500.00 	VND	PVNASPRVND	17.02%						0
PVS	PVN Technical Services	297802094	100	100	15200.000	VND	1	1.00	15200.000	4526591828800.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	11.46%						0
DPM	PVN Fertilizer and Chemicals	250000000	100	100	39200.000	VND	1	1.00	39200.000	9800000000000.00 	2012/09/13	0:00:00	350000000000.00	 1,400.00 	 1,400.00 	VND	PVNASPRVND	24.82%						0
PGS	PVN Southern Gas	157531264	100	100	17100.000	VND	1	1.00	17100.000	2693784614400.00 	2012/09/13	0:00:00	189037516800.00	 1,200.00 	 1,200.00 	VND	PVNASPRVND	6.82%						0
PVC	Drilling Mud Corp	42900000	100	100	12700.000	VND	1	1.00	12700.000	544830000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	1.38%						0
PVT	PVN Transportation	256000000	100	100	4300.000	VND	1	1.00	4300.000	1100800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	2.79%						0
PVE	PVN Investment Consultancy and Engineering	232600000	100	100	9600.000	VND	1	1.00	9600.000	2232960000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	5.65%						0
PVF	PVN Finance	38000000	100	100	8300.000	VND	1	1.00	8300.000	315400000000.00 	2012/09/13	0:00:00	19000000000.00	 500.00 	 500.00 	VND	PVNASPRVND	0.80%						0
PVG	PVN Northern Gas	70371300	100	100	9300.000	VND	1	1.00	9300.000	654453090000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	1.66%	1400000000	90	100	15.23	0	1
PVX	PVN Construction	100000000	100	100	5200.000	VND	1	1.00	5200.000	520000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	1.32%						0
PSP	Dinh Vu Petroleum Service Port	35000000	100	100	5300.000	VND	1	1.00	5300.000	185500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.47%						0
PGD	PVN Low Pressure Gas Distribution	52356713	100	100	38800.000	VND	1	1.00	38800.000	2031440464400.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	5.14%						0
NT2	PVN Power NhonTrach 2	37518001	100	100	4600.000	VND	1	1.00	4600.000	172582804600.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.44%						0
PTT	Indochina Petroleum Transportation	59841300	100	100	1800.000	VND	1	1.00	1800.000	107714340000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.27%						0
PXT	Petroleum Pipeline and Tank Construction	27719850	100	100	4200.000	VND	1	1.00	4200.000	116423370000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.29%	1000000000	100	100	22.9	0	1
PXS	Petroleum Equipment Assembly and Metal Structure	50000000	100	100	9400.000	VND	1	1.00	9400.000	470000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	1.19%						0
PVR	PVN Premier Recreation	35000000	100	100	3600.000	VND	1	1.00	3600.000	126000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.32%						0
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000.000	VND	1	1.00	4000.000	120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.30%						0
PXM	Mientrung Petroleum Construction	18000000	100	100	3200.000	VND	1	1.00	3200.000	57600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.15%	240000000	100	10	12.2	0	1
PSI	PVN Securities Incorporated	15000000	100	100	3600.000	VND	1	1.00	3600.000	54000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.14%						0
PCT	Cuu Long Petro Gas Service Transportation	15000000	100	100	2900.000	VND	1	1.00	2900.000	43500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.11%						0
PTL	Petro Capital and Infrastructure Investment	20000000	100	100	2900.000	VND	1	1.00	2900.000	58000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.15%						0
POV	Vung Ang Petroleum	22500000	100	100	5900.000	VND	1	1.00	5900.000	132750000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.34%						0
