tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
IDX_COMPOSITION	IDX_COMPOSITION	id	ID	ID	50	C	N	0	0	text		10	442991	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_mult	STK_MULT	MULT	50	R	N	0	0	text		1		home
IDX_COMPOSITION	IDX_COMPOSITION	curr_conv	CURR_CONV	CURRCONV	50	R	N	0	0	text		NULL		home
IDX_COMPOSITION	IDX_COMPOSITION	idx_code	IDX_CODE	INDEX CODE	150	C	C	0	1	text		255	PVNASVND	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_code	STK_CODE	CODE	70	C	C	0	2	text		50	PVI	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_name	STK_NAME	STOCK NAME	400	L	C	0	3	text		50	PVN Fertilizer and Chemicals	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_shares_idx	STK_SHARES_IDX	SHARES	120	R	N	0	4	text				home
IDX_COMPOSITION	IDX_COMPOSITION	stk_float_idx	STK_FLOAT_IDX	FLOAT	70	C	N	0	5	text		100		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_capp_idx	STK_CAPP_IDX	CAPP	60	C	N	0	6	text		100		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_price	STK_PRICE	PRICE	100	R	N	0	7	text		20.1		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr	STK_CURR	CURR	70	C	C	0	8	text		10	VND	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_curr_conv	STK_CURR_CONV	STKCURRCONV	50	R	N	0	11	text		0		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_mcap_idx	STK_MCAP_IDX	MARKET CAP	50	R	N	0	12	text		0		home
IDX_COMPOSITION	IDX_COMPOSITION	specs_id	SPECS_ID	SPECSID	50	R	N	0	13	text		10		home
IDX_COMPOSITION	IDX_COMPOSITION	dates	DATES	DATE	120	C	C	0	14	text		8	41162	home
IDX_COMPOSITION	IDX_COMPOSITION	times	TIMES	TIME	100	C	C	0	15	text		8	0.690625	home
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcap_idx	STK_DCAP_IDX	DCAP	100	R	N	0	16	text		NULL		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_dcurr_conv	STK_DCURR_CONV	DCURRCONV	100	R	N	0	17	text		NULL		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_dprice	STK_DPRICE	DPRICE	100	R	N	0	18	text		0.6		home
IDX_COMPOSITION	IDX_COMPOSITION	idx_curr	IDX_CURR	CURRENCY	200	L	C	0	19	text		255		home
IDX_COMPOSITION	IDX_COMPOSITION	stk_wgt	STK_WGT	WGT	50	R	N	0	20	text		0		home
IDX_COMPOSITION	IDX_COMPOSITION	nxt_shares_idx	NXT_SHARES_IDX	NEXT SHARES	50	R	N	0	21	text		NULL		home
