STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	IDX_CODE	DATES
DPM	PVN Fertilizer and Chemicals	377647740 	95.230000	100.000000000000	PVN10PRVND	2012/09/13
PVX	PVN Construction	209740215 	100.000000	92.123456789000	PVN10PRVND	2012/09/13
PVD	PVN Drilling & Well Services	600000000 	20.000000	100.000000000000	PVN10PRVND	2012/09/13
PVF	PVN Finance	297802094 	15.000000	84.123000000000	PVN10PRVND	2012/09/13
PVS	PVN Technical Services	250000000 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PGS	PVN Southern Gas	157531264 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PVI	PVN Insurance	42900000 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PVC	Drilling Mud Corp	256000000 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PGD	PVN Low Pressure Gas Distribution	232600000 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PET	PVN General Services	38000000 	100.000000	100.000000000000	PVN10PRVND	2012/09/13
PVD	PVN Drilling & Well Services	377647740 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVI	PVN Insurance	209740215 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PET	PVN General Services	600000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVS	PVN Technical Services	297802094 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
DPM	PVN Fertilizer and Chemicals	250000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PGS	PVN Southern Gas	157531264 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVC	Drilling Mud Corp	42900000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVT	PVN Transportation	256000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVE	PVN Investment Consultancy and Engineering	232600000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVF	PVN Finance	38000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVG	PVN Northern Gas	70371300 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVX	PVN Construction	100000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PSP	Dinh Vu Petroleum Service Port	35000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PGD	PVN Low Pressure Gas Distribution	52356713 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
NT2	PVN Power NhonTrach 2	37518001 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PTT	Indochina Petroleum Transportation	59841300 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PXT	Petroleum Pipeline and Tank Construction	27719850 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PXS	Petroleum Equipment Assembly and Metal Structure	50000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PVR	PVN Premier Recreation	35000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PXI	Petroleum Industrial and Civil Construction	30000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PXM	Mientrung Petroleum Construction	18000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PSI	PVN Securities Incorporated	15000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PCT	Cuu Long Petro Gas Service Transportation	15000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PTL	Petro Capital and Infrastructure Investment	20000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
POV	Vung Ang Petroleum	22500000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PFL	Petro Dong Do Joint Stock Company	18870000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PCG	PetroVietnam Gas City Investment and Development JSC	23000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PPS	Petro Vietnam Power Services Joint Stock Company	10000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PSG	Saigon Petroleum Constrution And Investment JSC	10000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
PPE	PetroVietnam Power Engineering Consulting JSC	2000000 	100.000000	100.000000000000	PVNASPRVND	2012/09/13
DPM	PVN Fertilizer and Chemicals	377647740 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
PVD	PVN Drilling & Well Services	70371300 	100.000000	100.000000000000	PVNCOPRVND	2012/09/13
