id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE
19990	PVN10PRVND	PVN 10 	VND	1000	P	PVN10PRVND	30000000000000.000000	39491866310320.600000	1316.395544	2012/09/13	0:00:00	10	1	0	970.279548	1032314040887.970000	0	  	  	Blue Chips	1.000000	970.279548
19991	PVN10PRUSD	PVN 10 (USD)	USD	1000	P	PVN10PRVND	1428571428.571430	1804105359.082710	1262.873751	2012/09/13	0:00:00	10	1	0	976.096277	47159161.301415	0	  	  	Blue Chips	21890.000000	976.096277
19992	PVN10PRJPY	PVN 10 (JPY)	JPY	1000	P	PVN10PRVND	113207547169.811000	140042079114.612000	1237.038366	2012/09/13	0:00:00	10	1	0	952.015879	3660688088.255220	0	  	  	Blue Chips	282.000000	952.015879
19993	PVN10PREUR	PVN 10 (EUR)	EUR	1000	P	PVN10PRVND	1034482758.620690	1324755634.904020	1280.597114	2012/09/13	0:00:00	10	1	0	976.975653	34629000.106270	0	  	  	Blue Chips	29810.680000	976.975653
19994	PVN10TRVND	PVN 10 TR 	VND	1000	R	PVN10PRVND	30000000000000.000000	39491866310320.600000	1393.371346	2012/09/13	0:00:00	10	1	0	1000.854089	1032314040887.970000	0	  	  	Blue Chips	1.000000	1000.854089
19995	PVN10TRUSD	PVN 10 TR (USD)	USD	1000	R	PVN10PRVND	1428571428571.430000	1804105359.082710	1295.555272	2012/09/13	0:00:00	10	1	0	1001.330197	47159161.301415	0	  	  	Blue Chips	21890.000000	1001.330197
19996	PVN10TRJPY	PVN 10 TR (JPY)	JPY	1000	R	PVN10PRVND	113207547169.811000	140042079114.612000	1336.168818	2012/09/13	0:00:00	10	1	0	1002.110873	3660688088.255220	0	  	  	Blue Chips	282.000000	1002.110873
19997	PVN10TREUR	PVN 10 TR (EUR)	EUR	1000	R	PVN10PRVND	1034482758620.690000	1324755634.904020	1312.728449	2012/09/13	0:00:00	10	1	0	1001.462674	34629000.106270	0	  	  	Blue Chips	29810.680000	1001.462674
19998	PVNASPRVND	PVN ALLSHARE 	VND	1000	P	PVNASPRVND	35000000000000.000000	49683919830700.000000	1419.540567	2012/09/13	0:00:00	30	1	0	1062.803477	2288862544800.000000	1	#REF!	#REF!	Benchmark	1.000000	1062.803477
19999	PVNASPRUSD	PVN ALLSHARE (USD)	USD	1000	P	PVNASPRVND	1666666666.666670	2269708534.979440	1361.825121	2012/09/13	0:00:00	30	1	0	1069.225824	104562016.665144	1	#REF!	#REF!	Benchmark	21890.000000	1069.225824
20000	PVNASPRJPY	PVN ALLSHARE (JPY)	JPY	1000	P	PVNASPRVND	132075471698.113000	176184112874.823000	1333.965426	2012/09/13	0:00:00	30	1	0	1043.571242	8116533846.808510	1	#REF!	#REF!	Benchmark	282.000000	1043.571242
20001	PVNASPREUR	PVN ALLSHARE (EUR)	EUR	1000	P	PVNASPRVND	1206896551.724140	1666648323.040600	1380.937182	2012/09/13	0:00:00	30	1	0	1070.685103	76779950.836412	1	#REF!	#REF!	Benchmark	29810.680000	1070.685103
20002	PVNASTRVND	PVN ALLSHARE TR 	VND	1000	R	PVNASPRVND	35000000000000.000000	49683919830700.000000	1779.832124	2012/09/13	0:00:00	30	1	0	1273.866992	2288862544800.000000	0	  	  	Benchmark	1.000000	1273.866992
