STK_CODE	IDX_CODE	DATE	NEW_SHARES	NXT_FREE_FLOAT	NXT_CAPPING	ADJ_CLOSE	INTRO	REMOVAL	TO_ADJUST	EVENT_CODE	IDX_SG
DPM	PVN10PRVND	9/13/2012	583153266	100	100	84000					
PVX	PVN10PRVND	9/13/2012	389740215	100	100	23000					
PVD	PVN10PRVND	9/13/2012	980000000	100	100	16000					
PVI	PVN10PRVND	9/13/2012	597802094	100	100	14000					
PET	PVN10PRVND	9/13/2012	150000000	100	100	22000					
PVS	PVN10PRVND	9/13/2012	57531264	100	100	16000					
PGS	PVN10PRVND	9/13/2012	142900000	100	100	26000					
PVC	PVN10PRVND	9/13/2012	156000000	100	100	37700					
PGD	PVN10PRVND	9/13/2012	132600000	100	100	12300					
PVF	PVN10PRVND	9/13/2012	197802094	100	100	10900					
PTT	PVN10PRVND	9/13/2012	10000000	100	100	10800	1				
NT2	PVN10PRVND	9/13/2012	756000000	90	90	55000	1				
PCT	PVN10PRVND	9/13/2012	138000000	100	100	5800	1				
PPE	PVN10PRVND	9/13/2012	27719850	100	100	14700	1				
PVT	PVN10PRVND	9/13/2012	232600000	100	100	23600	1				
PTL	PVN10PRVND	9/13/2012	15000000	100	100	38000	1				
