STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_DATE	NXT_SCURR_CONV	NXT_SMCAP_IDX
DPM	PVN Fertilizer and Chemicals	377647740	95.23	100	39200	VND	1	1	39200	1.40977E+13	9/13/2012	0:00:00	5.03488E+11	"1,400.00"	"1,400.00"	VND	PVN10PRVND	35.70%						0			
PVX	PVN Construction	209740215	100	92.12345679	5200	VND	1	1	5200	1.00474E+12	9/13/2012	0:00:00		  	  	VND	PVN10PRVND	2.54%						0			
PVD	PVN Drilling & Well Services	600000000	20	100	35000	VND	1	1	35000	4.2E+12	9/13/2012	0:00:00	2.64E+11	"2,200.00"	"2,200.00"	VND	PVN10PRVND	10.64%						0			
PVF	PVN Finance	297802094	15	84.123	8300	VND	1	1	8300	3.11897E+11	9/13/2012	0:00:00	18789004165	500	500	VND	PVN10PRVND	0.79%						0			
PVS	PVN Technical Services	250000000	100	100	15200	VND	1	1	15200	3.8E+12	9/13/2012	0:00:00		  	  	VND	PVN10PRVND	9.62%						0			
PGS	PVN Southern Gas	157531264	100	100	17100	VND	1	1	17100	2.69378E+12	9/13/2012	0:00:00	1.89038E+11	"1,200.00"	"1,200.00"	VND	PVN10PRVND	6.82%						0			
PVI	PVN Insurance	42900000	100	100	15900	VND	1	1	15900	6.8211E+11	9/13/2012	0:00:00		  	  	VND	PVN10PRVND	1.73%						0			
PVC	Drilling Mud Corp	256000000	100	100	12700	VND	1	1	12700	3.2512E+12	9/13/2012	0:00:00		  	  	VND	PVN10PRVND	8.23%						0			
PGD	PVN Low Pressure Gas Distribution	232600000	100	100	38800	VND	1	1	38800	9.02488E+12	9/13/2012	0:00:00		  	  	VND	PVN10PRVND	22.85%						0			
PET	PVN General Services	38000000	100	100	11200	VND	1	1	11200	4.256E+11	9/13/2012	0:00:00	57000000000	"1,500.00"	"1,500.00"	VND	PVN10PRVND	1.08%						0			
PVD	PVN Drilling & Well Services	377647740	100	100	35000	VND	1	1	35000	1.32177E+13	9/13/2012	0:00:00	8.30825E+11	"2,200.00"	"2,200.00"	VND	PVNASPRVND	33.47%						0			
PVI	PVN Insurance	209740215	100	100	15900	VND	1	1	15900	3.33487E+12	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	8.44%						0			
PET	PVN General Services	600000000	100	100	11200	VND	1	1	11200	6.72E+12	9/13/2012	0:00:00	9E+11	"1,500.00"	"1,500.00"	VND	PVNASPRVND	17.02%						0			
PVS	PVN Technical Services	297802094	100	100	15200	VND	1	1	15200	4.52659E+12	9/13/2012	0:00:00		  	  	VND	PVNASPRVND	11.46%						0			
DPM	PVN Fertilizer and Chemicals	250000000	100	100	39200	VND	1	1	39200	9.8E+12	9/13/2012	0:00:00	3.5E+11	"1,400.00"	"1,400.00"	VND	PVNASPRVND	24.82%						0			
