STK_CODE	IDX_CODE	DATES	NEW_SHARES	NXT_FREE_FLOAT	NXT_CAPPING	ADJ_CLOSE	INTRO	REMOVAL
DPM	PVN10PRVND	2011/11/22	583153266	100	100	84.00		
PVX	PVN10PRVND	2011/11/25	389740215	100	100	23.00		
PVD	PVN10PRVND	2011/11/25	980000000	100	100	16.000		
PVI	PVN10PRVND	2011/11/25	597802094	100	100	14.000		
PET	PVN10PRVND	2011/11/25	150000000	100	100	22.000		
PVS	PVN10PRVND	2011/11/25	57531264	100	100	16.000		
PGS	PVN10PRVND	2011/11/25	142900000	100	100	26.00		
PVC	PVN10PRVND	2011/11/25	156000000 	100	100	37.700		
PGD	PVN10PRVND	2011/11/25	132600000 	100	100	12.300		
PVF	PVN10PRVND	2011/11/25	197802094 	100	100	10.900		
PTT	PVN10PRVND	2011/11/25	10000000	100	100	10.800	1	
NT2	PVN10PRVND	2011/11/25	756000000	90	90	55.000	1	
PCT	PVN10PRVND	2011/11/25	138000000	100	100	5.800	1	
PPE	PVN10PRVND	2011/11/25	27719850	100	100	14.700	1	
PVT	PVN10PRVND	2011/11/25	232600000	100	100	23.600	1	
PTL	PVN10PRVND	2011/11/25	15000000	100	100	38.000	1	
