STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
DPM	PVN Fertilizer and Chemicals	 377,644,200 	40	29.26718691	29000.000	VND	1	1.00	29000.000	 1,282,099,672,859 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	15.65%	  					0	 1,282,099,672,859 	2012/03/15	PVN10PR
PVX	PVN Construction	 250,000,000 	50	100	9100.000	VND	1	1.00	9100.000	 1,137,500,000,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	13.89%	  					0	 1,137,500,000,000 	2012/03/15	PVN10PR
PVD	PVN Drilling & Well Services	 209,567,165 	50	31.04697459	37100.000	VND	1	1.00	37100.000	 1,206,942,105,829 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	14.74%	  					0	 1,206,942,105,829 	2012/03/15	PVN10PR
PVS	PVN Technical Services	 298,998,663 	40	60.06865657	14500.000	VND	1	1.00	14500.000	 1,041,705,984,198 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	12.72%	  					0	 1,041,705,984,198 	2012/03/15	PVN10PR
PGS	PVN Southern Gas	 38,000,000 	50	100	22000.000	VND	1	1.00	22000.000	 418,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	5.10%	  					0	 418,000,000,000 	2012/03/15	PVN10PR
PVF	PVN Finance	 600,000,000 	15	100	11100.000	VND	1	1.00	11100.000	 999,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	12.20%	  					0	 999,000,000,000 	2012/03/15	PVN10PR
PVI	PVN Insurance	 208,110,252 	20	100	17800.000	VND	1	1.00	17800.000	 740,872,497,120 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	9.05%	  					0	 740,872,497,120 	2012/03/15	PVN10PR
PGD	PVN Low Pressure Gas Distribution	 42,900,000 	50	100	31100.000	VND	1	1.00	31100.000	 667,095,000,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	8.14%	  					0	 667,095,000,000 	2012/03/15	PVN10PR
PET	PVN General Services	 69,053,120 	50	100	13100.000	VND	1	1.00	13100.000	 452,297,936,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	5.52%	  					0	 452,297,936,000 	2012/03/15	PVN10PR
PVC	Drilling Mud Corp	 35,000,000 	50	100	14000.000	VND	1	1.00	14000.000	 245,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVN10PRVND	2.99%	  					0	 245,000,000,000 	2012/03/15	PVN10PR
DPM	PVN Fertilizer and Chemicals	 377,644,200 	100	100	29000.000	VND	1	1.00	29000.000	 10,951,681,800,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	25.17%	  					0	 10,951,681,800,000 	2012/03/15	PVNACPR
PCG	PetroVietnam Gas City Investment and Development JSC	 18,870,000 	100	100	4300.000	VND	1	1.00	4300.000	 81,141,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.19%	  					0	 81,141,000,000 	2012/03/15	PVNACPR
PET	PVN General Services	 69,053,120 	100	100	13100.000	VND	1	1.00	13100.000	 904,595,872,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	2.08%	  					0	 904,595,872,000 	2012/03/15	PVNACPR
PFL	Petro Dong Do Joint Stock Company	 50,000,000 	100	100	4200.000	VND	1	1.00	4200.000	 210,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.48%	  					0	 210,000,000,000 	2012/03/15	PVNACPR
PGD	PVN Low Pressure Gas Distribution	 42,900,000 	100	100	31100.000	VND	1	1.00	31100.000	 1,334,190,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	3.07%	  					0	 1,334,190,000,000 	2012/03/15	PVNACPR
PGS	PVN Southern Gas	 38,000,000 	100	100	22000.000	VND	1	1.00	22000.000	 836,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	1.92%	  					0	 836,000,000,000 	2012/03/15	PVNACPR
PPE	PetroVietnam Power Engineering Consulting JSC	 2,000,000 	100	100	6400.000	VND	1	1.00	6400.000	 12,800,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.03%	  					0	 12,800,000,000 	2012/03/15	PVNACPR
PPS	Petro Vietnam Power Services Joint Stock Company	 15,000,000 	100	100	12400.000	VND	1	1.00	12400.000	 186,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.43%	  					0	 186,000,000,000 	2012/03/15	PVNACPR
PSI	PVN Securities Incorporated	 59,841,300 	100	100	4700.000	VND	1	1.00	4700.000	 281,254,110,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.65%	  					0	 281,254,110,000 	2012/03/15	PVNACPR
PTL	Petro Capital and Infrastructure Investment	 98,865,080 	100	100	4700.000	VND	1	1.00	4700.000	 464,665,876,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	1.07%	  					0	 464,665,876,000 	2012/03/15	PVNACPR
PVC	Drilling Mud Corp	 35,000,000 	100	100	14000.000	VND	1	1.00	14000.000	 490,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	1.13%	  					0	 490,000,000,000 	2012/03/15	PVNACPR
PVD	PVN Drilling & Well Services	 209,567,165 	100	100	37100.000	VND	1	1.00	37100.000	 7,774,941,821,500 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	17.87%	  					0	 7,774,941,821,500 	2012/03/15	PVNACPR
PVE	PVN Investment Consultancy and Engineering	 18,000,000 	100	100	11200.000	VND	1	1.00	11200.000	 201,600,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.46%	  					0	 201,600,000,000 	2012/03/15	PVNACPR
PVF	PVN Finance	 600,000,000 	100	100	11100.000	VND	1	1.00	11100.000	 6,660,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	15.31%	  					0	 6,660,000,000,000 	2012/03/15	PVNACPR
PVG	PVN Northern Gas	 27,719,850 	100	100	11700.000	VND	1	1.00	11700.000	 324,322,245,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.75%	  					0	 324,322,245,000 	2012/03/15	PVNACPR
PVI	PVN Insurance	 205,837,952 	100	100	17800.000	VND	1	1.00	17800.000	 3,663,915,545,600 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	8.42%	  					0	 3,663,915,545,600 	2012/03/15	PVNACPR
PVR	PVN Premier Recreation	 51,906,713 	100	100	6200.000	VND	1	1.00	6200.000	 321,821,620,600 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.74%	  					0	 321,821,620,600 	2012/03/15	PVNACPR
PVS	PVN Technical Services	 298,998,663 	100	100	14500.000	VND	1	1.00	14500.000	 4,335,480,613,500 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	9.97%	  					0	 4,335,480,613,500 	2012/03/15	PVNACPR
PVT	PVN Transportation	 232,600,000 	100	100	4100.000	VND	1	1.00	4100.000	 953,660,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	2.19%	  					0	 953,660,000,000 	2012/03/15	PVNACPR
PVX	PVN Construction	 250,000,000 	100	100	9100.000	VND	1	1.00	9100.000	 2,275,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	5.23%	  					0	 2,275,000,000,000 	2012/03/15	PVNACPR
PXI	Petroleum Industrial and Civil Construction	 30,000,000 	100	100	5200.000	VND	1	1.00	5200.000	 156,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNACPRVND	0.36%	  					0	 156,000,000,000 	2012/03/15	PVNACPR
