TICKER	DATES	TIMES	STK_LAST
AAA	2012/09/11	12:00:00	128000
AAM	2012/09/11	12:00:00	0
ABT	2012/09/11	12:00:00	385000
ACB	2012/09/11	12:00:00	179000
ACC	2012/09/11	12:00:00	235000
ACL	2012/09/11	12:00:00	156000
ADC	2012/09/11	12:00:00	0
AGD	2012/09/11	12:00:00	430000
AGF	2012/09/11	12:00:00	233000
AGR	2012/09/11	12:00:00	55000
ALP	2012/09/11	12:00:00	78000
ALT	2012/09/11	12:00:00	0
ALV	2012/09/11	12:00:00	40000
AMC	2012/09/11	12:00:00	0
AME	2012/09/11	12:00:00	24000
AMV	2012/09/11	12:00:00	26000
ANV	2012/09/11	12:00:00	69000
APC	2012/09/11	12:00:00	112000
APG	2012/09/11	12:00:00	28000
API	2012/09/11	12:00:00	31000
APP	2012/09/11	12:00:00	90000
APS	2012/09/11	12:00:00	36000
ARM	2012/09/11	12:00:00	0
ASA	2012/09/11	12:00:00	137000
ASIAGF	2012/09/11	12:00:00	0
ASM	2012/09/11	12:00:00	82000
ASP	2012/09/11	12:00:00	39000
ATA	2012/09/11	12:00:00	54000
AVF	2012/09/11	12:00:00	69000
AVS	2012/09/11	12:00:00	36000
B82	2012/09/11	12:00:00	86000
BBC	2012/09/11	12:00:00	154000
BBS	2012/09/11	12:00:00	0
BCC	2012/09/11	12:00:00	41000
BCE	2012/09/11	12:00:00	75000
BCI	2012/09/11	12:00:00	157000
BDB	2012/09/11	12:00:00	0
BED	2012/09/11	12:00:00	0
BGM	2012/09/11	12:00:00	39000
BHC	2012/09/11	12:00:00	0
BHS	2012/09/11	12:00:00	163000
BHT	2012/09/11	12:00:00	0
BHV	2012/09/11	12:00:00	0
BIC	2012/09/11	12:00:00	61000
BKC	2012/09/11	12:00:00	74000
BLF	2012/09/11	12:00:00	30000
BMC	2012/09/11	12:00:00	485000
BMI	2012/09/11	12:00:00	80000
BMP	2012/09/11	12:00:00	445000
BPC	2012/09/11	12:00:00	80000
BRC	2012/09/11	12:00:00	114000
BSC	2012/09/11	12:00:00	0
BSI	2012/09/11	12:00:00	48000
BST	2012/09/11	12:00:00	0
BT6	2012/09/11	12:00:00	0
BTH	2012/09/11	12:00:00	55000
BTP	2012/09/11	12:00:00	58000
BTS	2012/09/11	12:00:00	0
BTT	2012/09/11	12:00:00	229000
BVG	2012/09/11	12:00:00	27000
BVH	2012/09/11	12:00:00	250000
BVS	2012/09/11	12:00:00	94000
BXH	2012/09/11	12:00:00	0
C21	2012/09/11	12:00:00	183000
C47	2012/09/11	12:00:00	110000
C92	2012/09/11	12:00:00	90000
CAN	2012/09/11	12:00:00	242000
CAP	2012/09/11	12:00:00	237000
CCI	2012/09/11	12:00:00	86000
CCL	2012/09/11	12:00:00	41000
CCM	2012/09/11	12:00:00	0
CDC	2012/09/11	12:00:00	57000
CIC	2012/09/11	12:00:00	20000
CID	2012/09/11	12:00:00	0
CIG	2012/09/11	12:00:00	37000
CII	2012/09/11	12:00:00	260000
CJC	2012/09/11	12:00:00	0
CKV	2012/09/11	12:00:00	0
CLC	2012/09/11	12:00:00	149000
CLG	2012/09/11	12:00:00	52000
CLW	2012/09/11	12:00:00	0
CMC	2012/09/11	12:00:00	44000
CMG	2012/09/11	12:00:00	39000
CMI	2012/09/11	12:00:00	94000
CMS	2012/09/11	12:00:00	112000
CMT	2012/09/11	12:00:00	53000
CMV	2012/09/11	12:00:00	171000
CMX	2012/09/11	12:00:00	43000
CNG	2012/09/11	12:00:00	259000
CNT	2012/09/11	12:00:00	72000
COM	2012/09/11	12:00:00	304000
CPC	2012/09/11	12:00:00	127000
CSC	2012/09/11	12:00:00	80000
CSG	2012/09/11	12:00:00	109000
CSM	2012/09/11	12:00:00	253000
CT6	2012/09/11	12:00:00	83000
CTA	2012/09/11	12:00:00	39000
CTB	2012/09/11	12:00:00	149000
CTC	2012/09/11	12:00:00	62000
CTD	2012/09/11	12:00:00	293000
CTG	2012/09/11	12:00:00	188000
