id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV
19990	PVN10PRVND	PVN 10 	VND	1000	P	PVN10PRVND	30000000000000.00	32299702201940.00	1076.66	2012/09/12	0:00:00	10	1	0	970.28	0.00	0	  	  	Blue Chips	1.000000
19991	PVN10PRUSD	PVN 10 (USD)	USD	1000	P	PVN10PRVND	1428571428.57	1475546011.97	1032.88	2012/09/12	0:00:00	10	1	0	976.10	0.00	0	  	  	Blue Chips	21890.000000
19992	PVN10PRJPY	PVN 10 (JPY)	JPY	1000	P	PVN10PRVND	113207547169.81	114537951070.71	1011.75	2012/09/12	0:00:00	10	1	0	952.02	0.00	0	  	  	Blue Chips	282.000000
19993	PVN10PREUR	PVN 10 (EUR)	EUR	1000	P	PVN10PRVND	1034482758.62	1083494311.50	1047.38	2012/09/12	0:00:00	10	1	0	976.98	0.00	0	  	  	Blue Chips	29810.680000
19994	PVN10TRVND	PVN 10 TR 	VND	1000	R	PVN10PRVND	30000000000000.00	32299702201940.00	1110.58	2012/09/12	0:00:00	10	1	0	1000.85	0.00	0	  	  	Blue Chips	1.000000
19995	PVN10TRUSD	PVN 10 TR (USD)	USD	1000	R	PVN10PRVND	1428571428571.43	1475546011.97	1059.58	2012/09/12	0:00:00	10	1	0	1001.33	0.00	0	  	  	Blue Chips	21890.000000
19996	PVN10TRJPY	PVN 10 TR (JPY)	JPY	1000	R	PVN10PRVND	113207547169.81	114537951070.71	1064.99	2012/09/12	0:00:00	10	1	0	1002.11	0.00	0	  	  	Blue Chips	282.000000
19997	PVN10TREUR	PVN 10 TR (EUR)	EUR	1000	R	PVN10PRVND	1034482758620.69	1083494311.50	1073.63	2012/09/12	0:00:00	10	1	0	1001.46	0.00	0	  	  	Blue Chips	29810.680000
19998	PVNASPRVND	PVN ALLSHARE 	VND	1000	P	PVNASPRVND	35000000000000.00	33775250052500.00	965.01	2012/09/12	0:00:00	30	1	0	1062.80	0.00	1	#REF!	#REF!	Benchmark	1.000000
19999	PVNASPRUSD	PVN ALLSHARE (USD)	USD	1000	P	PVNASPRVND	1666666666.67	1542953405.78	925.77	2012/09/12	0:00:00	30	1	0	1069.23	0.00	1	#REF!	#REF!	Benchmark	21890.000000
20000	PVNASPRJPY	PVN ALLSHARE (JPY)	JPY	1000	P	PVNASPRVND	132075471698.11	119770390257.09	906.83	2012/09/12	0:00:00	30	1	0	1043.57	0.00	1	#REF!	#REF!	Benchmark	282.000000
20001	PVNASPREUR	PVN ALLSHARE (EUR)	EUR	1000	P	PVNASPRVND	1206896551.72	1132991600.75	938.76	2012/09/12	0:00:00	30	1	0	1070.69	0.00	1	#REF!	#REF!	Benchmark	29810.680000
