STK_CODE	DATE	DIVTR	DIVNR
DPM	2011/09/13	1000.00	1000.00
DPM	2011/05/06	1000.00	1000.00
DPM	2010/08/11	1000.00	1000.00
DPM	2010/05/04	1300.00	1300.00
DPM	2009/08/05	700.00	700.00
DPM	2009/04/14	500.00	500.00
PCG	2011/05/24	300.00	300.00
PET	2011/05/18	1600.00	1600.00
PET	2010/05/07	1200.00	1200.00
PET	2009/05/06	1000.00	1000.00
PGD	2011/08/19	1500.00	1500.00
PGD	2011/03/24	1500.00	1500.00
PGD	2010/09/01	1500.00	1500.00
PGD	2010/04/13	1500.00	1500.00
PGD	2009/12/09	2000.00	2000.00
PGS	2011/04/20	1100.00	1100.00
PGS	2010/12/07	2000.00	2000.00
PGS	2010/09/13	850.00	850.00
PGS	2010/05/05	1000.00	1000.00
PGS	2009/05/20	450.00	450.00
PPS	2011/06/01	1380.00	1380.00
PSG	2011/04/06	600.00	600.00
PSI	2010/12/28	800.00	800.00
PTL	2011/05/16	1000.00	1000.00
PVC	2011/05/25	1200.00	1200.00
PVC	2010/05/17	1200.00	1200.00
PVC	2009/07/08	1000.00	1000.00
PVD	2011/02/23	2000.00	2000.00
PVE	2011/05/16	450.00	450.00
PVE	2010/12/17	1350.00	1350.00
PVE	2010/04/26	1200.00	1200.00
PVE	2009/05/06	1200.00	1200.00
PVF	2011/09/21	583.00	583.00
PVF	2010/05/05	600.00	600.00
PVG	2011/05/13	650.00	650.00
PVG	2010/05/06	250.00	250.00
PVG	2010/05/06	250.00	250.00
PVG	2009/05/06	300.00	300.00
PVI	2011/08/16	1500.00	1500.00
PVI	2010/05/10	1900.00	1900.00
PVI	2010/05/10	1900.00	1900.00
PVI	2009/05/18	300.00	300.00
PVR	2011/02/21	1000.00	1000.00
PVS	2010/12/09	1500.00	1500.00
PVS	2010/05/10	2000.00	2000.00
PVS	2009/05/22	500.00	500.00
PVX	2010/11/15	1000.00	1000.00
PVX	2010/05/21	300.00	300.00
PVX	2010/03/08	700.00	700.00
PXI	2011/11/28	1000.00	1000.00
PXI	2011/05/17	200.00	200.00
PXI	2010/12/24	1400.00	1400.00
PXM	2011/03/31	750.00	750.00
PXM	2010/11/02	750.00	750.00
PXS	2011/11/23	500.00	500.00
PXS	2011/09/21	1000.00	1000.00
PXS	2011/04/07	600.00	600.00
PXS	2010/11/29	1400.00	1400.00
PXT	2011/11/23	600.00	600.00
PXT	2011/06/28	200.00	200.00
PXT	2011/03/24	800.00	800.00
