id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE
19990	VNX10PRVND	VNX 10 	VND	1000	P	VNX10PRVND	30000000000000.000000	39491866310320.600000	1316.395544	2012/09/13	0:00:00	10	1	0		1032314040887.970000	0	  	  	Blue Chips	1.000000	1358.26	
19991	VNX10PRUSD	VNX 10 (USD)	USD	1000	P	VNX10PRVND	1428571428.571430	1804105359.082710	1262.873751	2012/09/13	0:00:00	10	1	0		47159161.301415	0	  	  	Blue Chips	21890.000000	1198.411	
19992	VNX10PRJPY	VNX 10 (JPY)	JPY	1000	P	VNX10PRVND	113207547169.811000	140042079114.612000	1237.038366	2012/09/13	0:00:00	10	1	0		3660688088.255220	0	  	  	Blue Chips	282.000000	1200.989	
19993	VNX10PREUR	VNX 10 (EUR)	EUR	1000	P	VNX10PRVND	1034482758.620690	1324755634.904020	1280.597114	2012/09/13	0:00:00	10	1	0		34629000.106270	0	  	  	Blue Chips	29810.680000	1309.029	
19994	VNX10TRVND	VNX 10 TR 	VND	1000	R	VNX10PRVND	30000000000000.000000	39491866310320.600000	1469.314063	2012/09/13	0:00:00	10	1	0		1032314040887.970000	0	  	  	Blue Chips	1.000000	1477.422	
19995	VNX10TRUSD	VNX 10 TR (USD)	USD	1000	R	VNX10PRVND	1428571428571.430000	1804105359.082710	1380.064949	2012/09/13	0:00:00	10	1	0		47159161.301415	0	  	  	Blue Chips	21890.000000	1309.586	
19996	VNX10TRJPY	VNX 10 TR (JPY)	JPY	1000	R	VNX10PRVND	113207547169.811000	140042079114.612000	1464.825019	2012/09/13	0:00:00	10	1	0		3660688088.255220	0	  	  	Blue Chips	282.000000	1385.91	
19997	VNX10TREUR	VNX 10 TR (EUR)	EUR	1000	R	VNX10PRVND	1034482758620.690000	1324755634.904020	1135.409906	2012/09/13	0:00:00	10	1	0		34629000.106270	0	  	  	Blue Chips	29810.680000	1160.588	
19998	VNXASPRVND	VNX ALLSHARE 	VND	1000	P	VNXASPRVND	35000000000000.000000	49683919830700.000000	1419.540567	2012/09/13	0:00:00	30	1	0		2288862544800.000000	1	#REF!	#REF!	Benchmark	1.000000	1419.541	
19999	VNXASPRUSD	VNX ALLSHARE (USD)	USD	1000	P	VNXASPRVND	1666666666.666670	2269708534.979440	1361.825121	2012/09/13	0:00:00	30	1	0		104562016.665144	1	#REF!	#REF!	Benchmark	21890.000000	1403.955	
20000	VNXASPRJPY	VNX ALLSHARE (JPY)	JPY	1000	P	VNXASPRVND	132075471698.113000	176184112874.823000	1333.965426	2012/09/13	0:00:00	30	1	0		8116533846.808510	1	#REF!	#REF!	Benchmark	282.000000	1376.001	
20001	VNXASPREUR	VNX ALLSHARE (EUR)	EUR	1000	P	VNXASPRVND	1206896551.724140	1666648323.040600	1380.937182	2012/09/13	0:00:00	30	1	0		76779950.836412	1	#REF!	#REF!	Benchmark	29810.680000	1410.389	
20002	VNXASTRVND	VNX ALLSHARE TR 	VND	1000	R	VNXASPRVND	35000000000000.000000	49683919830700.000000	1849.026938	2012/09/13	0:00:00	30	1	0		2288862544800.000000	0	  	  	Benchmark	1.000000	1767.597	
20003	VNXASTRUSD	VNX ALLSHARE TR (USD)	USD	1000	R	VNXASPRVND	1666666666666.670000	2269708534.979440	1557.834299	2012/09/13	0:00:00	30	1	0		104562016.665144	0	  	  	Benchmark	21890.000000	1605.954	
