tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
idx_composition	IDX_COMPOSITION	specs_id	SPECS_ID	SPECSID	60	R	N	0	0	text		10		home
idx_composition	IDX_COMPOSITION	id	ID	ID	50	C	N	0	0	text		10	442991	home
idx_composition	IDX_COMPOSITION	stk_mult	STK_MULT	MULT	50	R	N	0	0	text		1		home
idx_composition	IDX_COMPOSITION	curr_conv	CURR_CONV	CURRCONV	50	R	N	0	0	text		NULL		home
idx_composition	IDX_COMPOSITION	dates	DATES	DATE	120	C	C	0	0	text		8	41162	home
idx_composition	IDX_COMPOSITION	times	TIMES	TIME	100	C	C	0	0	text		8	0.690625	home
idx_composition	IDX_COMPOSITION	idx_code	IDX_CODE	INDEX CODE	80	C	C	0	1	text		255	PVNASVND	home
idx_composition	IDX_COMPOSITION	stk_code	STK_CODE	CODE	40	C	C	0	2	text		50	PVI	home
idx_composition	IDX_COMPOSITION	stk_name	STK_NAME	STOCK NAME	330	LB	C	0	3	text		50	PVN Fertilizer and Chemicals	home
idx_composition	IDX_COMPOSITION	stk_curr	STK_CURR	CURR	40	C	C	0	10	text		10	VND	home
idx_composition	IDX_COMPOSITION	stk_shares_idx	STK_SHARES_IDX	SHARES	80	R	N	0	11	text				home
idx_composition	IDX_COMPOSITION	stk_float_idx	STK_FLOAT_IDX	FLOAT	40	C	N	0	12	text		100		home
idx_composition	IDX_COMPOSITION	stk_capp_idx	STK_CAPP_IDX	CAPP	100	R	N	6	13	text		100		home
idx_composition	IDX_COMPOSITION	stk_price	STK_PRICE	PRICE	50	R	N	0	14	text		20.1		home
idx_composition	IDX_COMPOSITION	stk_mcap_idx	STK_MCAP_IDX	MARKET CAP	110	R	N	0	15	text		0		home
idx_composition	IDX_COMPOSITION	stk_dprice	STK_DPRICE	DPRICE	70	R	N	0	16	text		0.6		home
idx_composition	IDX_COMPOSITION	stk_dcap_idx	STK_DCAP_IDX	DCAP	105	R	N	0	17	text		NULL		home
idx_composition	IDX_COMPOSITION	stk_wgt	STK_WGT	WGT	50	R	N	4	18	text		0		home
idx_composition	IDX_COMPOSITION	stk_dcurr_conv	STK_DCURR_CONV	DCURR	50	R	N	0	19	text		NULL		home
idx_composition	IDX_COMPOSITION	stk_curr_conv	STK_CURR_CONV	CURRCONV	70	R	N	0	20	text		0		home
idx_composition	IDX_COMPOSITION	idx_curr	IDX_CURR	IDXCURR	50	C	C	0	21	text		255		home
idx_composition	IDX_COMPOSITION	nxt_shares_idx	NXT_SHARES_IDX	NEXT SHARES	105	R	N	0	23	text		NULL		home
idx_composition	IDX_COMPOSITION	nxt_float_idx	NXT_FLOAT_IDX	NEXT FLOAT	75	R	N	0	24	text		NULL		home
idx_composition	IDX_COMPOSITION	nxt_capp_idx	NXT_CAPP_IDX	NEXT CAPP	100	R	N	6	25	text		NULL		home
idx_composition	IDX_COMPOSITION	nxt_price	NXT_PRICE	NEXT PRICE	75	R	N	0	26	text		NULL		home
idx_composition	IDX_COMPOSITION	nxt_adjust	NXT_ADJUST	NEXT ADJUST	80	R	N	0	27	text		NULL		home
idx_composition	IDX_COMPOSITION	to_adjust	TO_ADJUST	TODAY ADJUST	80	R	N	0	28	text		6	0	home
idx_composition	IDX_COMPOSITION	nxt_date	NXT_DATE	NEXT DATE	70	L	C	0	29	text		8		home
idx_composition	IDX_COMPOSITION	nstk_curr_conv	NXT_SCURR_CONV	SCURR CONV	100	R	N	0	30	text				home
