ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
AAA	20121109	12500	13300	11700	12500	12500	12600	12400	12500	412300	5147290000	123750000000
ACB	20121109	14800	15800	13800	14900	14900	15000	14800	14900	241100	3592900000	13971677850000
ADC	20121109	10900	11600	10200	10500	11100	11100	10500	11100	700	7410000	11100000000
ALT	20121109	14900	15900	13900	0	0	0	0	14900	0	0	73313930200
ALV	20121109	3100	3300	2900	3100	3200	3200	3100	3200	1600	5020000	5519993600
AMC	20121109	18000	19200	16800	0	0	0	0	18000	0	0	51300000000
AME	20121109	1800	1900	1700	0	0	0	0	1800	0	0	21600000000
AMV	20121109	3000	3200	2800	2800	2800	2800	2800	2800	3100	8680000	5924100000
APG	20121109	2000	2100	1900	2000	2100	2100	2000	2100	15700	32310000	28410690000
API	20121109	2800	2900	2700	2700	2800	2800	2700	2800	21400	57890000	73920000000
APP	20121109	7500	8000	7000	8000	8000	8000	8000	8000	100	800000	31711680000
APS	20121109	3000	3200	2800	3000	3000	3100	2900	3000	300500	895920000	117000000000
ARM	20121109	16400	17500	15300	0	0	0	0	16400	0	0	42520936000
ASA	20121109	13900	14800	13000	14000	14100	14100	13900	14100	91400	1282100000	42300000000
AVS	20121109	3300	3500	3100	3200	3300	3300	3100	3300	7700	24970000	118800000000
B82	20121109	9600	10200	9000	0	0	0	0	9600	0	0	28800000000
BBS	20121109	8200	8700	7700	0	0	0	0	8200	0	0	32800000000
BCC	20121109	3800	4000	3600	3700	3800	3900	3700	3800	15200	57060000	363513308600
BDB	20121109	7200	7700	6700	0	0	0	0	7200	0	0	8110612800
BED	20121109	9900	10500	9300	0	0	0	0	9900	0	0	29700000000
BHC	20121109	1900	2000	1800	0	0	0	0	1900	0	0	8550000000
BHT	20121109	5700	6000	5400	0	0	0	0	5700	0	0	26220000000
BHV	20121109	8900	9500	8300	8300	8300	8300	8300	8300	100	830000	8067707900
BKC	20121109	6100	6500	5700	6000	6200	6200	5900	6200	6600	39630000	33933840000
BLF	20121109	2800	2900	2700	2800	2700	2900	2700	2700	300	840000	13500000000
BPC	20121109	7700	8200	7200	0	0	0	0	7700	0	0	29260000000
BSC	20121109	8400	8900	7900	8900	8900	8900	8900	8900	100	890000	28041648300
BST	20121109	6400	6800	6000	0	0	0	0	6400	0	0	7040000000
BTH	20121109	5500	5800	5200	5300	5300	5300	5300	5300	1000	5300000	18550000000
BTS	20121109	3500	3700	3300	3300	3300	3300	3300	3300	1600	5280000	359885433600
BVG	20121109	4000	4200	3800	3800	3800	3800	3800	3800	1700	6460000	37053602400
BVS	20121109	9100	9700	8500	9300	9500	9500	9000	9400	641400	5977990000	678856127800
BXH	20121109	4000	4200	3800	0	0	0	0	4000	0	0	12048160000
C92	20121109	5700	6000	5400	0	0	0	0	5700	0	0	13680000000
CAN	20121109	21400	22800	20000	22000	22000	22000	22000	22000	100	2200000	110000000000
CAP	20121109	27000	28800	25200	27200	27000	27200	27000	27000	1500	40700000	45669150000
CCM	20121109	9500	10100	8900	0	0	0	0	9500	0	0	43699962000
CIC	20121109	1700	1800	1600	1600	1800	1800	1600	1800	10100	17590000	8343072000
CID	20121109	5700	6000	5400	0	0	0	0	5700	0	0	5680050000
CJC	20121109	14900	15900	13900	0	0	0	0	14900	0	0	29800000000
CKV	20121109	7600	8100	7100	8000	8100	8100	8000	8100	2300	18560000	32148900000
CMC	20121109	3300	3500	3100	3500	3500	3500	3500	3500	1700	5950000	15963675000
CMI	20121109	6200	6600	5800	6200	6400	6400	6100	6400	112100	705110000	47526400000
CMS	20121109	9000	9600	8400	8900	8700	8900	8700	8700	72800	634310000	43500000000
CPC	20121109	12000	12800	11200	0	0	0	0	12000	0	0	48982800000
CSC	20121109	8500	9000	8000	8300	8400	8400	8200	8400	14500	120010000	41650417200
CT6	20121109	7000	7400	6600	0	0	0	0	7000	0	0	42740313000
CTA	20121109	4000	4200	3800	4000	4000	4000	4000	4000	1500	6000000	36352000000
CTB	20121109	14500	15500	13500	14600	14600	14600	14600	14600	1400	20440000	40276728000
CTC	20121109	5900	6300	5500	0	0	0	0	5900	0	0	51919563400
CTM	20121109	2600	2700	2500	2500	2600	2600	2500	2600	7000	17550000	11439989600
CTN	20121109	4100	4300	3900	4100	4100	4100	4100	4100	400	1640000	25672519000
CTS	20121109	6400	6800	6000	6300	6600	6600	6200	6500	66800	429040000	505072100000
CTV	20121109	3900	4100	3700	0	0	0	0	3900	0	0	7800000000
CTX	20121109	8100	8600	7600	8400	7600	8400	7600	7800	300	2400000	205559640000
CVN	20121109	6100	6500	5700	5900	6200	6300	5900	6100	52500	318440000	19825000000
CVT	20121109	8200	8700	7700	8200	8000	8200	8000	8000	10500	84780000	62352800000
CX8	20121109	3300	3500	3100	0	0	0	0	3300	0	0	6457440000
D11	20121109	11200	11900	10500	10600	10600	10600	10600	10600	500	5300000	38583947000
DAC	20121109	15000	16000	14000	0	0	0	0	15000	0	0	15074610000
DAD	20121109	7600	8100	7100	7700	7800	7800	7700	7800	5000	38990000	36341760000
DAE	20121109	9700	10300	9100	0	0	0	0	9700	0	0	14537196000
DBC	20121109	21000	22400	19600	21000	21000	21000	20900	21000	20000	419690000	1016609160000
DBT	20121109	18000	19200	16800	0	0	0	0	18000	0	0	53073000000
DC2	20121109	5800	6200	5400	5600	5600	5600	5600	5600	2000	11200000	14112000000
DC4	20121109	6400	6800	6000	6000	6400	6400	6000	6400	400	2470000	31363200000
DCS	20121109	3000	3200	2800	3100	3100	3100	2900	3100	272600	824700000	103849066900
DHI	20121109	4000	4200	3800	4200	4200	4200	4200	4200	100	420000	11037776400
DHL	20121109	5600	5900	5300	5600	5600	5600	5600	5600	1800	10080000	30800000000
DHT	20121109	28000	29900	26100	0	0	0	0	28000	0	0	175685384000
DID	20121109	4700	5000	4400	4800	4800	4800	4800	4800	100	480000	24000000000
