id	stk_code	stk_name	stk_shares_idx	stk_float_idx	stk_capp_idx	stk_price	stk_curr	stk_mult	curr_conv	stk_curr_conv	stk_mcap_idx	specs_id	dates	times	stk_dcap_idx	stk_dcurr_conv	stk_dprice	idx_curr	idx_code	new_shares	stk_wgt	nxt_shares_idx	nxt_float_idx	nxt_capp_idx	nxt_price	nxt_adjust	to_adjust	nxt_date	nstk_curr_conv	nstk_mcap_idx	nxt_free_float	nxt_capping
1	DPM	PVN Fertilizer and Chemicals	377647740	95.23	100	39200	VND	1	1	39200	14097650557838.4	0	2012-09-13	12:23:11	503487519922.8	1400	1400	VND	PVN10PRVND	0	35.69760529183751						0	0000-00-00	0	0	0	0
2	PVX	PVN Construction	209740215	100	92.123456789	5200	VND	1	1	5200	1004743668940.3397	0	2012-09-13	12:23:11				VND	PVN10PRVND	0	2.544178745682033						0	0000-00-00	0	0	0	0
3	PVD	PVN Drilling & Well Services	600000000	20	100	35000	VND	1	1	35000	4200000000000	0	2012-09-13	12:23:11	264000000000	2200	2200	VND	PVN10PRVND	0	10.63510133199857						0	0000-00-00	0	0	0	0
4	PVF	PVN Finance	297802094	15	84.123	8300	VND	1	1	8300	311897469141.8469	0	2012-09-13	12:23:11	18789004165.1715	500	500	VND	PVN10PRVND	0	0.7897764736946283						0	0000-00-00	0	0	0	0
5	PVS	PVN Technical Services	250000000	100	100	15200	VND	1	1	15200	3800000000000	0	2012-09-13	12:23:11				VND	PVN10PRVND	0	9.622234538474897						0	0000-00-00	0	0	0	0
6	PGS	PVN Southern Gas	157531264	100	100	17100	VND	1	1	17100	2693784614400	0	2012-09-13	12:23:11	189037516800	1200	1200	VND	PVN10PRVND	0	6.821112462076832						0	0000-00-00	0	0	0	0
7	PVI	PVN Insurance	42900000	100	100	15900	VND	1	1	15900	682110000000	0	2012-09-13	12:23:11				VND	PVN10PRVND	0	1.727216421326082						0	0000-00-00	0	0	0	0
8	PVC	Drilling Mud Corp	256000000	100	100	12700	VND	1	1	12700	3251200000000	0	2012-09-13	12:23:11				VND	PVN10PRVND	0	8.232581297760417						0	0000-00-00	0	0	0	0
9	PGD	PVN Low Pressure Gas Distribution	232600000	100	100	38800	VND	1	1	38800	9024880000000	0	2012-09-13	12:23:11				VND	PVN10PRVND	0	22.85250316883982						0	0000-00-00	0	0	0	0
10	PET	PVN General Services	38000000	100	100	11200	VND	1	1	11200	425600000000	0	2012-09-13	12:23:11	57000000000	1500	1500	VND	PVN10PRVND	0	1.0776902683091885						0	0000-00-00	0	0	0	0
11	PVD	PVN Drilling & Well Services	377647740	100	100	35000	VND	1	1	35000	13217670900000	0	2012-09-13	12:23:11	830825028000	2200	2200	VND	PVNASPRVND	0	26.603518693854582						0	0000-00-00	0	0	0	0
12	PVI	PVN Insurance	209740215	100	100	15900	VND	1	1	15900	3334869418500	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	6.712170516866835						0	0000-00-00	0	0	0	0
13	PET	PVN General Services	600000000	100	100	11200	VND	1	1	11200	6720000000000	0	2012-09-13	12:23:11	900000000000	1500	1500	VND	PVNASPRVND	0	13.525502864706883						0	0000-00-00	0	0	0	0
14	PVS	PVN Technical Services	297802094	100	100	15200	VND	1	1	15200	4526591828800	0	2012-09-13	12:23:11				VND	PVNASPRVND	0	9.11077838508827						0	0000-00-00	0	0	0	0
15	DPM	PVN Fertilizer and Chemicals	250000000	100	100	39200	VND	1	1	39200	9800000000000	0	2012-09-13	12:23:11	350000000000	1400	1400	VND	PVNASPRVND	0	19.72469167769754						0	0000-00-00	0	0	0	0
16	PGS	PVN Southern Gas	157531264	100	100	17100	VND	1	1	17100	2693784614400	0	2012-09-13	12:23:11	189037516800	1200	1200	VND	PVNASPRVND	0	5.42184397603728						0	0000-00-00	0	0	0	0
