date	currency	close
2008/06/02	JPY/VND	15398
2008/06/03	JPY/VND	15560
2008/06/04	JPY/VND	15468
2008/06/05	JPY/VND	15446
2008/06/06	JPY/VND	15365
2008/06/09	JPY/VND	15519
2008/06/10	JPY/VND	15320
2008/06/11	JPY/VND	15168
2008/06/12	JPY/VND	15541
2008/06/13	JPY/VND	15394
2008/06/16	JPY/VND	15354
2008/06/17	JPY/VND	15356
2008/06/18	JPY/VND	15400
2008/06/19	JPY/VND	15403
2008/06/20	JPY/VND	15385
2008/06/23	JPY/VND	15478
2008/06/24	JPY/VND	15402
2008/06/25	JPY/VND	15408
2008/06/26	JPY/VND	15409
2008/06/27	JPY/VND	15554
2008/06/30	JPY/VND	15871
2008/07/01	JPY/VND	15857
2008/07/02	JPY/VND	15872
2008/07/03	JPY/VND	15905
2008/07/04	JPY/VND	15783
2008/07/07	JPY/VND	15778
2008/07/08	JPY/VND	15717
2008/07/09	JPY/VND	15674
2008/07/10	JPY/VND	15783
2008/07/11	JPY/VND	15732
2008/07/14	JPY/VND	15843
2008/07/15	JPY/VND	15862
2008/07/16	JPY/VND	16076
2008/07/17	JPY/VND	16004
2008/07/18	JPY/VND	15833
2008/07/21	JPY/VND	15683
2008/07/22	JPY/VND	15636
2008/07/23	JPY/VND	15503
2008/07/24	JPY/VND	15501
2008/07/25	JPY/VND	15657
2008/07/28	JPY/VND	15553
2008/07/29	JPY/VND	15620
2008/07/30	JPY/VND	15536
2008/07/31	JPY/VND	15504
2008/08/01	JPY/VND	15540
2008/08/04	JPY/VND	15568
2008/08/05	JPY/VND	15461
2008/08/06	JPY/VND	15426
2008/08/07	JPY/VND	15127
2008/08/08	JPY/VND	15173
2008/08/11	JPY/VND	15012
2008/08/12	JPY/VND	14943
2008/08/13	JPY/VND	15137
2008/08/14	JPY/VND	15179
2008/08/15	JPY/VND	15090
2008/08/18	JPY/VND	15022
2008/08/19	JPY/VND	15137
2008/08/20	JPY/VND	15184
2008/08/21	JPY/VND	15136
2008/08/22	JPY/VND	15312
2008/08/25	JPY/VND	15077
2008/08/26	JPY/VND	15229
2008/08/27	JPY/VND	15169
2008/08/28	JPY/VND	15151
2008/08/29	JPY/VND	15115
2008/09/01	JPY/VND	15190
2008/09/02	JPY/VND	15315
2008/09/03	JPY/VND	15248
2008/09/04	JPY/VND	15320
2008/09/05	JPY/VND	15487
2008/09/08	JPY/VND	15400
2008/09/09	JPY/VND	15332
2008/09/10	JPY/VND	15522
2008/09/11	JPY/VND	15393
2008/09/12	JPY/VND	15474
2008/09/15	JPY/VND	15370
2008/09/16	JPY/VND	15858
2008/09/17	JPY/VND	15697
2008/09/18	JPY/VND	15875
2008/09/19	JPY/VND	15836
2008/09/22	JPY/VND	15564
2008/09/23	JPY/VND	15832
2008/09/24	JPY/VND	15735
2008/09/25	JPY/VND	15649
2008/09/26	JPY/VND	15585
2008/09/29	JPY/VND	15647
2008/09/30	JPY/VND	15935
2008/10/01	JPY/VND	15643
2008/10/02	JPY/VND	15689
2008/10/03	JPY/VND	15744
2008/10/06	JPY/VND	15753
2008/10/07	JPY/VND	16301
2008/10/08	JPY/VND	16367
2008/10/09	JPY/VND	16747
2008/10/10	JPY/VND	16639
2008/10/13	JPY/VND	16469
2008/10/14	JPY/VND	16262
2008/10/15	JPY/VND	16258
2008/10/16	JPY/VND	16599
2008/10/17	JPY/VND	16332
2008/10/20	JPY/VND	16323
2008/10/21	JPY/VND	16351
2008/10/22	JPY/VND	16710
2008/10/23	JPY/VND	17140
2008/10/24	JPY/VND	17204
2008/10/27	JPY/VND	17748
2008/10/28	JPY/VND	18151
2008/10/29	JPY/VND	17178
2008/10/30	JPY/VND	17290
2008/10/31	JPY/VND	17063
2008/11/03	JPY/VND	17086
2008/11/04	JPY/VND	16969
2008/11/05	JPY/VND	16879
2008/11/06	JPY/VND	17198
2008/11/07	JPY/VND	17225
2008/11/10	JPY/VND	17269
2008/11/11	JPY/VND	17288
2008/11/12	JPY/VND	17351
2008/11/13	JPY/VND	17845
2008/11/14	JPY/VND	17369
2008/11/17	JPY/VND	17495
2008/11/18	JPY/VND	17606
2008/11/19	JPY/VND	17492
2008/11/20	JPY/VND	17735
2008/11/21	JPY/VND	18110
2008/11/24	JPY/VND	17689
2008/11/25	JPY/VND	17431
2008/11/26	JPY/VND	17823
2008/11/27	JPY/VND	17738
2008/11/28	JPY/VND	17829
2008/12/01	JPY/VND	17761
2008/12/02	JPY/VND	18199
2008/12/03	JPY/VND	18221
2008/12/04	JPY/VND	18200
2008/12/05	JPY/VND	18404
2008/12/08	JPY/VND	18273
2008/12/09	JPY/VND	18296
2008/12/10	JPY/VND	18435
2008/12/11	JPY/VND	18306
2008/12/12	JPY/VND	18571
2008/12/15	JPY/VND	18623
2008/12/16	JPY/VND	18729
2008/12/17	JPY/VND	19073
2008/12/18	JPY/VND	19471
2008/12/19	JPY/VND	18999
2008/12/22	JPY/VND	19022
2008/12/23	JPY/VND	18825
2008/12/24	JPY/VND	18670
2008/12/25	JPY/VND	18776
2008/12/26	JPY/VND	18743
2008/12/29	JPY/VND	19241
2008/12/30	JPY/VND	19289
2008/12/31	JPY/VND	19340
2009/01/01	JPY/VND	19286
2009/01/02	JPY/VND	19266
2009/01/05	JPY/VND	19033
2009/01/06	JPY/VND	18709
2009/01/07	JPY/VND	18642
2009/01/08	JPY/VND	18863
2009/01/09	JPY/VND	19158
2009/01/12	JPY/VND	19342
2009/01/13	JPY/VND	19591
2009/01/14	JPY/VND	19552
2009/01/15	JPY/VND	19628
2009/01/16	JPY/VND	19459
2009/01/19	JPY/VND	19277
2009/01/20	JPY/VND	19278
2009/01/21	JPY/VND	19470
2009/01/22	JPY/VND	19538
2009/01/23	JPY/VND	19663
2009/01/26	JPY/VND	19694
2009/01/27	JPY/VND	19616
2009/01/28	JPY/VND	19646
2009/01/29	JPY/VND	19351
2009/01/30	JPY/VND	19417
2009/02/02	JPY/VND	19435
2009/02/03	JPY/VND	19547
2009/02/04	JPY/VND	19545
2009/02/05	JPY/VND	19544
2009/02/06	JPY/VND	19180
2009/02/09	JPY/VND	19031
2009/02/10	JPY/VND	19100
2009/02/11	JPY/VND	19323
2009/02/12	JPY/VND	19338
2009/02/13	JPY/VND	19223
2009/02/16	JPY/VND	19019
2009/02/17	JPY/VND	19064
2009/02/18	JPY/VND	18926
2009/02/19	JPY/VND	18644
2009/02/20	JPY/VND	18564
2009/02/23	JPY/VND	18727
2009/02/24	JPY/VND	18474
2009/02/25	JPY/VND	18086
2009/02/26	JPY/VND	17946
2009/02/27	JPY/VND	17747
2009/03/02	JPY/VND	17915
2009/03/03	JPY/VND	17924
2009/03/04	JPY/VND	17805
2009/03/05	JPY/VND	17626
2009/03/06	JPY/VND	17821
2009/03/09	JPY/VND	17788
2009/03/10	JPY/VND	17685
2009/03/11	JPY/VND	17717
2009/03/12	JPY/VND	17965
2009/03/13	JPY/VND	17892
2009/03/16	JPY/VND	17839
2009/03/17	JPY/VND	17804
2009/03/18	JPY/VND	17733
2009/03/19	JPY/VND	18177
2009/03/20	JPY/VND	18496
2009/03/23	JPY/VND	18212
2009/03/24	JPY/VND	18038
2009/03/25	JPY/VND	18083
2009/03/26	JPY/VND	18212
2009/03/27	JPY/VND	18016
2009/03/30	JPY/VND	18179
2009/03/31	JPY/VND	18282
2009/04/01	JPY/VND	17981
2009/04/02	JPY/VND	18045
2009/04/03	JPY/VND	17854
2009/04/06	JPY/VND	17722
2009/04/07	JPY/VND	17578
2009/04/08	JPY/VND	17656
2009/04/09	JPY/VND	17825
2009/04/10	JPY/VND	17699
2009/04/13	JPY/VND	17731
2009/04/14	JPY/VND	17745
2009/04/15	JPY/VND	17940
2009/04/16	JPY/VND	17916
2009/04/17	JPY/VND	17904
2009/04/20	JPY/VND	17932
2009/04/21	JPY/VND	18195
2009/04/22	JPY/VND	18013
2009/04/23	JPY/VND	18135
2009/04/24	JPY/VND	18173
2009/04/27	JPY/VND	18287
2009/04/28	JPY/VND	18368
2009/04/29	JPY/VND	18420
2009/04/30	JPY/VND	18207
2009/05/01	JPY/VND	18028
2009/05/04	JPY/VND	17942
2009/05/05	JPY/VND	18000
2009/05/06	JPY/VND	17990
2009/05/07	JPY/VND	18087
2009/05/08	JPY/VND	17924
2009/05/11	JPY/VND	18048
2009/05/12	JPY/VND	18245
2009/05/13	JPY/VND	18428
2009/05/14	JPY/VND	18644
2009/05/15	JPY/VND	18537
2009/05/18	JPY/VND	18676
2009/05/19	JPY/VND	18462
