id	idx_code	idx_name	idx_curr	idx_base	idx_type	idx_mother	idx_divisor	idx_mcap	idx_last	dates	times	records	calculs	publications	idx_plast	idx_dcap	to_adjust	idx_mcap_nxt	idx_divisor_nxt	idx_bbs	idx_conv	idx_group	idx_var	idx_pclose	ip_last	ip_plast	idx_dvar	nxt_date
19990	VNX10PRVND	VNX 10	VND	1000	P	VNX10PRVND	30000000000000	39491866310320.59	1316.395543677353	2012-09-13	08:52:27	10	1	0	0	1032314040887.9716	0	0	0	Blue Chips	1			1358.26			-3.082212265887746	2012-09-04
19991	VNX10PRUSD	VNX 10 (USD)	USD	1000	P	VNX10PRVND	1428571428.57143	1804105359.0827134	1262.873751357898	2012-09-13	00:00:00	10	1	0	0	47159161.30141487	0	0	0	Blue Chips	21890			1198.411			5.379018663705358	2012-09-04
19992	VNX10PRJPY	VNX 10 (JPY)	JPY	1000	P	VNX10PRVND	113207547169.811	140042079114.61203	1237.0383655124097	2012-09-13	00:00:00	10	1	0	0	3660688088.2552185	0	0	0	Blue Chips	282			1200.989			3.001639941115999	2012-09-04
19993	VNX10PREUR	VNX 10 (EUR)	EUR	1000	P	VNX10PRVND	1034482758.62069	1324755634.9040208	1280.597113740553	2012-09-13	00:00:00	10	1	0	0	34629000.10626969	0	0	0	Blue Chips	29810.68			1309.029			-2.1719829170665497	2012-09-04
19994	VNX10TRVND	VNX 10 TR	VND	1000	R	VNX10PRVND	30000000000000	39491866310320.59	1469.3140631602996	2012-09-13	00:00:00	10	1	0	0	1032314040887.9716	0	0	0	Blue Chips	1			1477.422	1316.395543677353	0	-0.5487895022343253	2012-09-04
19995	VNX10TRUSD	VNX 10 TR (USD)	USD	1000	R	VNX10PRVND	1428571428571.43	1804105359.0827134	1380.0649491952033	2012-09-13	00:00:00	10	1	0	0	47159161.30141487	0	0	0	Blue Chips	21890			1309.586	1262.873751357898	0	5.3817732623289585	2012-09-04
19996	VNX10TRJPY	VNX 10 TR (JPY)	JPY	1000	R	VNX10PRVND	113207547169.811	140042079114.61203	1464.825019350537	2012-09-13	00:00:00	10	1	0	0	3660688088.2552185	0	0	0	Blue Chips	282			1385.91	1237.0383655124097	0	5.694094086234822	2012-09-04
19997	VNX10TREUR	VNX 10 TR (EUR)	EUR	1000	R	VNX10PRVND	1034482758620.69	1324755634.9040208	1135.4099056454545	2012-09-13	00:00:00	10	1	0	0	34629000.10626969	0	0	0	Blue Chips	29810.68			1160.588	1280.597113740553	0	-2.1694257009847995	2012-09-04
19998	VNXASPRVND	VNX ALLSHARE	VND	1000	P	VNXASPRVND	35000000000000	49683919830700	1419.5405665914286	2012-09-13	08:52:27	30	1	0	0	2288862544800	1	261609472068000	184291649160947.38	Benchmark	1			1419.541			-0.00003053159939201083	2012-09-04
19999	VNXASPRUSD	VNX ALLSHARE (USD)	USD	1000	P	VNXASPRVND	1666666666.66667	2269708534.9794426	1361.8251209876626	2012-09-13	00:00:00	30	1	0	0	104562016.6651439	1	11951095115.029694	8775792817.187988	Benchmark	21890			1403.955			-3.0007998128385434	2012-09-04
20000	VNXASPRJPY	VNX ALLSHARE (JPY)	JPY	1000	P	VNXASPRVND	132075471698.113	176184112874.8227	1333.965426052231	2012-09-13	00:00:00	30	1	0	0	8116533846.808511	1	927693163361.7021	695440185513.0079	Benchmark	282			1376.001			-3.054908677229819	2012-09-04
20001	VNXASPREUR	VNX ALLSHARE (EUR)	EUR	1000	P	VNXASPRVND	1206896551.72414	1666648323.0406015	1380.9371819479247	2012-09-13	00:00:00	30	1	0	0	76779950.83641165	1	8775696229.270851	6354884453.825781	Benchmark	29810.68			1410.389			-2.088205314425678	2012-09-04
20002	VNXASTRVND	VNX ALLSHARE TR	VND	1000	R	VNXASPRVND	35000000000000	49683919830700	1849.0269381558983	2012-09-13	00:00:00	30	1	0	0	2288862544800	0	0	0	Benchmark	1			1767.597	1419.5405665914286	0	4.6068158158165184	2012-09-04
