ID	TABLES	FIELDS	HEADERS	WIDTHS	ALIGNS	FORMATS	DECIMALS	ORDERS	EDITTYPE	EDITOPTION	DESCRIPTIONS	SORTABLE
1	IDX_CALENDAR	id	ID	50	C	N	0	0	text	value |C:CENTER;L:LEFT;R:RIGHT		true
2	IDX_CALENDAR	prevdate	PREVIOUS DATE	100	C	D	0	3	text	value |C:CHAR;N:NUMBER;I:IMAGE		true
3	IDX_CALENDAR	currdate	DATE	100	C	D	0	2	text	value |text:TEXT;select:SELECT;textarea:TEXTARE		true
4	MAR_REF	id	ID	50	C	N	0	0	text			true
5	MAR_REF	mar_code	CODE	200	C	C	0	2	textarea			true
6	MAR_REF	mar_name	NAME	200	C	C	0	3	textarea			true
7	MAR_REF	mar_name_vn	NAME (VN)	200	C	C	0	4	textarea			true
8	SEC_REF	id	ID	50	C	N	0	0	text			true
9	SEC_REF	sec_code	CODE	255	C	C	0	2	textarea			true
10	SEC_REF	sec_name	SECTOR	300	L	C	0	3	textarea			true
11	SEC_REF	sec_name_vn	NAME (VN)	300	L	C	0	1	textarea			true
12	SEC_REF	uni_code	UNICODE	100	C	C	0	4	textarea			true
13	STK_REF	id	ID	50	C	N	0	0	text			true
14	STK_REF	stk_code	STKCODE	100	C	C	0	4	textarea			true
15	STK_REF	stk_name	STKNAME	50	C	C	0	0	textarea			true
16	STK_REF	stk_name_sn	STKNAMESN	400	L	C	0	6	textarea			true
17	STK_REF	stk_name_vn	STKNAMEVN	255	C	C	0	0	textarea			true
18	STK_REF	stk_name_sn_vn	STKNAMESNVN	255	C	C	0	0	textarea			true
19	STK_REF	stk_market	STKMARKET	100	L	C	0	9	textarea			true
20	STK_REF	stk_sector	STKSECTOR	100	L	C	0	10	textarea			true
21	STK_REF	stk_curr	STKCURR	50	C	C	0	11	textarea			true
22	STK_REF	stk_mult	STKMULT	50	C	F	0	12	textarea			true
23	STK_REF	ric_code	RICCODE	255	L	C	0	0	textarea			true
24	STK_REF	bl_code	BLCODE	255	C	C	0	0	textarea			true
25	STK_REF	pvnsample	PVNSAMPLE	50	C	smallint	0	0	text			true
26	STK_REF	ipo	IPO	100	L	D	0	3	text			true
27	STK_REF	ticker	TICKER	200	C	C	0	15	textarea			true
28	IDX_REF	id	ID	50	C	N	0	0	text			true
29	IDX_REF	idx_code	IDXCODE	200	C	C	0	2	textarea			true
30	IDX_REF	idx_name	IDXNAME	200	C	C	0	3	textarea			true
31	IDX_REF	idx_name_sn	IDXNAMESN	200	C	C	0	4	textarea			true
32	IDX_REF	idx_name_sn_vn	IDXNAMESNVN	200	C	C	0	5	textarea			true
33	IDX_REF	idx_curr	IDXCURR	200	C	C	0	6	textarea			true
34	IDX_REF	idx_base	IDXBASE	100	C	N	0	7	text			true
35	IDX_REF	idx_base_capi	IDXBASECAPI	100	C	N	0	8	text			true
36	IDX_REF	idx_dtbase	IDXDTBASE	200	C	C	0	9	textarea			true
37	IDX_REF	idx_type	IDXTYPE	200	C	C	0	10	textarea			true
38	IDX_REF	idx_mother	IDXMOTHER	200	C	C	0	11	textarea			true
39	IDX_REF	idx_bbs	IDXBBS	200	C	C	0	12	textarea			true
40	IDX_REF	idx_ncompo	IDXNCOMPO	200	C	C	0	13	textarea			true
41	IDX_REF	idx_wgt_type	IDXWGTTYPE	200	C	C	0	14	textarea			true
42	IDX_REF	idx_frequency	IDXFREQUENCY	200	C	C	0	15	textarea			true
43	IDX_REF	idx_capp	IDXCAPP	200	C	C	0	16	textarea			true
44	IDX_REF	idx_qlf	IDXQLF	200	C	C	0	17	textarea			true
45	IDX_REF	idx_compo_rev	IDXCOMPOREV	200	C	C	0	18	textarea			true
46	IDX_REF	idx_shares_rev	IDXSHARESREV	200	C	C	0	19	textarea			true
47	IDX_REF	idx_frev	IDXFREV	200	C	C	0	20	textarea			true
48	IDX_REF	idx_fbanding	IDXFBANDING	200	C	C	0	21	textarea			true
49	IDX_REF	idx_ftreproduct	IDXFTREPRODUCT	200	C	C	0	22	textarea			true
50	IDX_REF	idx_oproduct	IDXOPRODUCT	200	C	C	0	23	textarea			true
51	IDX_REF	idx_etfproduct	IDXETFPRODUCT	200	C	C	0	24	textarea			true
52	IDX_REF	idx_c_mech	IDXCMECH	200	C	C	0	25	textarea			true
53	IDX_REF	idx_histo	IDXHISTO	200	C	C	0	26	textarea			true
54	IDX_REF	idx_launch	IDXLAUNCH	200	C	C	0	27	textarea			true
55	IDX_REF	idx_web	IDXWEB	200	C	C	0	28	textarea			true
56	IDX_REF	idx_isin	IDXISIN	200	C	C	0	29	textarea			true
57	IDX_REF	idx_reuters	IDXREUTERS	200	C	C	0	30	textarea			true
58	IDX_REF	idx_bl	IDXBL	200	C	C	0	31	textarea			true
59	IDX_REF	idx_yh	IDXYH	200	C	C	0	32	textarea			true
60	IDX_REF	idx_ggl	IDXGGL	200	C	C	0	33	textarea			true
61	IDX_REF	calculs	CALCULS	50	C	smallint	0	34	text			true
62	IDX_REF	publications	PUBLICATIONS	50	C	smallint	0	35	text			true
63	IDX_REF	idx_igs	IDXIGS	200	C	C	0	36	textarea			true
64	IDX_REF	idx_es	IDXES	200	C	C	0	37	textarea			true
65	IDX_REF	idx_sel	IDXSEL	200	C	C	0	38	textarea			true
66	IDX_REF	idx_inconnect	IDXINCONNECT	200	C	C	0	39	textarea			true
67	IDX_REF	idx_capfrev	IDXCAPFREV	200	C	C	0	40	textarea			true
68	STK_PRICES	id	ID	50	C	N	0	0	text			true
69	STK_PRICES	stk_code	STKCODE	50	C	C	0	2	text			true
70	STK_PRICES	stk_name	STKNAME	300	L	C	0	3	text			true
71	STK_PRICES	stk_market	STKMARKET	100	C	C	0	4	textarea			true
