source	ticker	name	market	date	yyyymmdd	ipo	ipo_shli	ipo_shou	ftrd	ftrd_cls	shli	shou	shfn	capi	capi_fora	capi_forn	capi_stat
EXC	AAA		HNX	2012/12/28	20121228	0000/00/00	0	0	0000/00/00	0	19800000	19800000	0	0	0	0	0
EXC	AAA		HNX	2013/01/02	20130102	0000/00/00	0	0	0000/00/00	0	19800000	19800000	0	0	0	0	0
EXC	AAA		HNX	2013/01/03	20130103	0000/00/00	0	0	0000/00/00	0	19800000	19800000	0	0	0	0	0
EXC	AAA		HNX	2013/01/04	20130104	0000/00/00	0	0	0000/00/00	0	19800000	19800000	0	0	0	0	0
EXC	AAA		HNX	2013/01/07	20130107	0000/00/00	0	0	0000/00/00	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/08	20130108	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/09	20130109	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/10	20130110	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/14	20130114	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/14	20130114	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/15	20130115	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/16	20130116	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/17	20130117	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/18	20130118	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/11	20130111	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	0	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/21	20130121	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/22	20130122	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/23	20130123	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/24	20130124	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/25	20130125	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/28	20130128	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/29	20130129	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/30	20130130	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/01/31	20130131	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/01	20130201	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/04	20130204	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/05	20130205	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/06	20130206	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/07	20130207	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
EXC	AAA	Anphat Plastic and G	HNX	2013/02/08	20130208	0000/00/00	0	0	2010/07/15	0	19800000	19800000	0	198000000	0	0	0
